,cooperative,cooperative,zerosum,zerosum,generalsum,generalsum
,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value
0,-1.0,-1.0,-9.0625,-9.0625,-5.5,-5.5
1,0.06625000000000014,0.06625000000000014,-17.875482110618744,-17.875482110618744,-8.83804347826087,-8.83804347826087
2,-0.3824718749999998,-0.3824718749999998,-26.63387336489935,-26.63387336489935,-10.96590489130435,-10.96590489130435
3,-0.46301272656250014,-0.46301272656250014,-35.380913355626916,-35.380913355626916,-12.504550061141304,-12.504550061141304
4,-1.006068909101563,-1.006068909101563,-44.125621402390045,-44.125621402390045,-13.762984360003395,-13.762984360003395
5,-1.527936596880324,-1.527936596880324,-52.869851751117096,-52.8698517511171,-14.88788162756288,-14.88788162756288
6,-2.2240928843035945,-2.2240928843035945,-61.61398431036515,-61.61398431036515,-15.948658129688742,-15.948658129688742
7,-2.9585409272983703,-2.9585409272983703,-70.35809685448878,-70.35809685448876,-16.978404268847214,-16.978404268847214
8,-3.770881113358566,-3.770881113358566,-79.1022053021746,-79.10220530217458,-17.993031409125773,-17.993031409125773
9,-4.61877454134622,-4.61877454134622,-87.84631291146317,-87.84631291146316,-19.00025087031665,-19.00025087031665
