,cooperative,cooperative,zerosum,zerosum,general-sum,general-sum
,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value
2generals(1),-1.0,-1.0,-9.0625,-9.0625,-5.5,-5.5
2generals(2),-0.3824718749999998,-0.3824718749999998,-27.201634395188485,-27.20163439518764,-16.546883152173912,-16.546883152173912
2generals(3),0.06625000000000014,0.06625000000000014,-18.133283428234833,-18.133283428234833,-11.08804347826087,-11.08804347826087
2generals(4),0.15029280964843839,0.15029280964843839,-45.33795118086896,-45.3379434538126,-27.625193615042868,-27.554707638949523
2generals(5),0.3310497734375004,0.3310497734375004,-36.26980499568241,-36.26980104111616,-22.10422354885397,-22.10422354885397
2generals(6),0.6747456101509282,0.6747456101509282,-54.40609480142555,-54.40608313731248,-33.133712136394934,-33.10900091171317
2generals(7),0.6877196806134007,0.6877196806134007,-63.47423416205412,-63.47422250176175,-38.6383324878839,-38.5586152167097
2generals(8),1.0818100372053419,1.0818100372053419,-72.54237349125387,-72.54236182926236,-44.072577026122225,-44.112581526899845
2generals(9),1.195267132755303,1.195267132755303,-81.61051281460047,-81.61050115247399,-49.62049205128562,-49.56210275643999
2generals(10),1.5163653259154861,1.5163653259154861,-90.67865213733197,-90.67864047518802,-55.13860524109347,-55.11603413687101
2generals(11),1.6841358175419012,1.6841358175419012,-99.74679145999025,-99.74677979784431,-60.57678048136083,-60.565545421586314
2generals(12),1.9652207526688414,1.9652207526688414,-108.81493078264006,-108.81491912049391,-66.12619131037705,-66.11947306954073
2generals(13),2.1625908511889538,2.1625908511889538,-117.88307010528891,-117.88305844314272,-71.64475824174203,-71.5689832915941
2generals(14),2.421816751470871,2.421816751470871,-126.95120942793764,-126.95119776579145,-77.15253542855753,-77.12291054071383
2generals(15),2.635340847577874,2.635340847577874,-136.01934875058632,-136.01933708844015,-82.65692789957076,-82.57242064921614
