,cooperative,cooperative,zerosum,zerosum,general-sum,general-sum
,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value
alignment_2x4(1),-1.0,-1.0,-91.72240802675586,-91.72240802675586,-38.125,-38.125
alignment_2x4(2),9.625,9.625,-276.63774391121524,-275.1672240802676,-109.68534323698607,-79.02846434412096
alignment_2x4(3),10.625,10.625,-183.44481605351172,-183.44481605351172,-76.41119519170446,-78.3505845037777
alignment_2x4(4),20.25,20.25,-462.0568966667093,-460.2563824208411,-121.5354687503109,-107.43405964778788
alignment_2x4(5),21.25,21.25,-369.4143700601349,-368.02619580227645,-124.95726678845494,-106.00447570337258
alignment_2x4(6),30.875,30.875,-647.5573624861818,-644.8715529046617,-169.21088925329767,-168.87261016002196
alignment_2x4(7),31.875,31.875,-554.8121349619403,-552.7859536216342,-176.9067529549425,-131.7898978251652
alignment_2x4(8),41.5,41.5,-833.0213296059666,-829.6195539892975,-133.6374615932417,-204.0206713392644
alignment_2x4(9),42.5,42.5,-740.2860410396122,-737.493124432282,-145.01246159324168,-172.2031973501148
alignment_2x4(10),53.125,53.125,-925.7575350001906,-922.2150975983982,-141.73757168886112,-223.01321791254833
