,cooperative,cooperative,zerosum,zerosum,general-sum,general-sum
,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value
broadcastChannel(1),1.0000000000000002,1.0000000000000002,0.5,0.5,1.0000000000000002,1.0000000000000002
broadcastChannel(2),1.9999999999999998,1.9999999999999998,0.9999999999999999,0.9999999999999999,2.0,2.0
broadcastChannel(3),3.0,3.0,1.4999999999999998,1.4999999999999998,2.0,2.0
broadcastChannel(4),4.000000000000001,4.000000000000001,2.0,2.0,4.000000000000001,4.000000000000001
broadcastChannel(5),5.000000000000002,5.000000000000002,2.5,2.5,4.000000000000002,4.000000000000002
broadcastChannel(6),6.000000000000001,6.000000000000002,3.0,3.0,5.000000000000002,5.000000000000002
broadcastChannel(7),7.000000000000002,7.000000000000002,3.5,3.5000000000000004,6.000000000000003,6.000000000000003
broadcastChannel(8),8.000000000000002,8.000000000000002,4.0,4.000000000000002,6.000000000000005,6.000000000000005
broadcastChannel(9),9.000000000000002,9.000000000000002,4.5,4.500000000000002,6.000000000000007,8.000000000000005
broadcastChannel(10),10.000000000000004,10.000000000000004,5.0,5.000000000000003,7.000000000000009,8.000000000000007
