,cooperative,cooperative,zerosum,zerosum,generalsum,generalsum
,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value
0,9.0,9.0,-75.0,-75.0,30.0,30.0
1,18.0,18.0,-150.0,-150.0,60.0,60.0
2,27.0,27.0,-225.0,-225.0,90.0,90.0
3,36.0,36.0,-300.0,-300.0,120.0,120.0
4,45.0,45.0,-375.0,-375.0,150.0,150.0
5,54.0,54.0,-450.0,-450.0,180.0,180.0
6,63.0,63.0,-525.0,-525.0,210.0,210.0
7,72.0,72.0,-600.0,-600.0,240.0,240.0
8,81.0,81.0,-675.0,-675.0,270.0,270.0
9,90.0,90.0,-750.0,-750.0,300.0,300.0
