,cooperative,cooperative,zerosum,zerosum,general-sum,general-sum
,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value
longFireFight(1),-29.928962962933035,-29.928962962933035,-30.04174979429818,-30.041749794298184,-29.988529488822273,-29.98748148145149
longFireFight(2),-26.93606666663973,-26.93606666663973,-27.037573875003115,-27.037573875003115,-26.98978143578679,-26.98873333330634
longFireFight(3),-23.943170370346426,-23.943170370346426,-24.033397898867783,-24.033397898867783,-23.991033584859338,-23.989985185161192
longFireFight(4),-20.95027407405313,-20.95027407405313,-21.02922188057494,-21.02922188057494,-20.99203434278861,-20.991237037016045
longFireFight(5),-17.957377777759824,-17.957377777759824,-18.025045922262283,-18.025045922262283,-17.993689417558304,-17.9924888888709
longFireFight(6),-14.964481481466516,-14.964481481466516,-15.020870374030048,-15.02087037403005,-14.994951341022041,-14.993740740725746
longFireFight(7),-11.971585185173215,-11.971585185173215,-12.016696223161082,-12.016696223161082,-11.996234666654674,-11.9949925925806
longFireFight(8),-8.97868888887991,-8.97868888887991,-9.012525990101024,-9.012525990101024,-8.99739407406508,-8.99624444443545
longFireFight(9),-5.985792592586607,-5.985792592586607,-6.008365692242624,-6.008365692242624,-5.998014814808818,-5.9974962962903
longFireFight(10),-2.9928962962933032,-2.9928962962933032,-3.0042289562259517,-3.0042289562259517,-2.998748148145149,-2.998748148145149
