,cooperative,cooperative,zerosum,zerosum,general-sum,general-sum
,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value
prisoners(1),0.0,0.0,-75.0,-75.0,-17.076923076923073,-98.0769230769231
prisoners(2),0.0,0.0,-70.0,-70.0,-16.769230769230766,-91.53846153846155
prisoners(3),0.0,0.0,-65.0,-65.0,-10.230769230769228,-85.0
prisoners(4),0.0,0.0,-60.0,-60.0,-9.923076923076922,-78.46153846153847
prisoners(5),0.0,0.0,-55.0,-55.0,-9.615384615384613,-71.92307692307693
prisoners(6),0.0,0.0,-50.0,-50.0,-9.307692307692305,-65.38461538461539
prisoners(7),0.0,0.0,-45.0,-45.0,-8.999999999999996,-58.84615384615385
prisoners(8),0.0,0.0,-40.0,-40.0,-8.69230769230769,-52.30769230769231
prisoners(9),0.0,0.0,-35.0,-35.0,-8.384615384615383,-45.769230769230774
prisoners(10),0.0,0.0,-30.0,-30.0,-8.076923076923077,-39.23076923076923
prisoners(11),0.0,0.0,-25.0,-25.0,-7.76923076923077,-32.69230769230769
prisoners(12),0.0,0.0,-20.0,-20.0,-7.461538461538462,-26.153846153846153
prisoners(13),0.0,0.0,-15.0,-15.0,-7.153846153846153,-19.615384615384613
prisoners(14),0.0,0.0,-10.0,-10.0,-6.846153846153846,-13.076923076923077
prisoners(15),0.0,0.0,-5.0,-5.0,-6.538461538461538,-6.538461538461538
