,cooperative,cooperative,zerosum,zerosum,general-sum,general-sum
,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value
relay4(1),-1.0,-1.0,-50.0,-50.0,-1.0,-1.0
relay4(2),-2.0,-2.0,-100.0,-100.0,-2.0,-2.0
relay4(3),-3.0,-3.0,-150.0,-150.0,-3.0,-3.0
relay4(4),-4.0,-4.0,-200.0,-200.0,-4.0,-4.0
relay4(5),-5.0,-5.0,-250.0,-250.0,-5.0,-5.0
relay4(6),-6.0,-6.0,-300.0,-300.0,-6.0,-6.0
relay4(7),-7.0,-7.0,-350.0,-350.0,-7.000000000000001,-7.000000000000001
relay4(8),-8.0,-8.0,-400.0,-400.0,-8.0,-8.0
relay4(9),-9.0,-9.0,-450.0,-450.0,-9.0,-9.0
relay4(10),-10.0,-10.0,-500.0,-500.0,-10.0,-10.0
