gametype,SOTA,horizon,iterations,time,number_of_beliefs,leader values,follower values,density
cooperative,Stackelberg,1,0,0.2025899887084961,4,0.15029280964843839,[ 5.57113308 -5.27054746],0.002
cooperative,Stackelberg,1,1,0.3076159954071045,6,0.15068920814453257,[ 5.56954749 -5.26816907],0.05
cooperative,Stackelberg,1,2,0.29440903663635254,6,0.15068920814453257,[ 5.56954749 -5.26816907],0.01
cooperative,State of the Art,1,0,0.007049083709716797,4,0.15029280964843839,[-1. -1.],0.002
cooperative,State of the Art,1,1,0.010492086410522461,6,0.15068920814453257,[-1. -1.],0.05
cooperative,State of the Art,1,2,0.010658979415893555,6,0.15068920814453257,[-1. -1.],0.01
zerosum,Stackelberg,1,0,0.22452282905578613,4,-45.33795118086894,[22.02766709 68.64823528],0.002
zerosum,Stackelberg,1,1,0.31472301483154297,6,-45.33794538944697,[22.02763234 68.64825844],0.05
zerosum,Stackelberg,1,2,0.30254697799682617,6,-45.33794538944697,[22.02763234 68.64825844],0.01
zerosum,State of the Art,1,0,0.27573299407958984,4,-45.3379434538126,[ 4.3975289  13.72743035],0.002
zerosum,State of the Art,1,1,0.41098904609680176,6,-45.33793766238543,[ 4.39750582 13.72745351],0.05
zerosum,State of the Art,1,2,0.43286800384521484,6,-45.33793766238543,[ 4.39750582 13.72745351],0.01
generalsum,Stackelberg,1,0,0.2505159378051758,4,-27.625193615042868,[-0.33384964 15.        ],0.002
generalsum,Stackelberg,1,1,0.31133389472961426,6,-27.596592960526873,[-0.25758123 15.        ],0.05
generalsum,Stackelberg,1,2,0.32667112350463867,6,-27.596592960526873,[-0.25758123 15.        ],0.01
