gametype,SOTA,horizon,iterations,time,number_of_beliefs,leader values,follower values,density
cooperative,Stackelberg,1,1,0.47449684143066406,2,0.37,"[0.8  0.51 0.51 0.07 0.6  0.46 0.37 0.21 0.51 0.07 0.8  0.51 0.37 0.21
 0.6  0.46]",0.1
cooperative,Stackelberg,1,2,0.1761307716369629,2,0.37,"[0.8  0.51 0.51 0.07 0.6  0.46 0.37 0.21 0.51 0.07 0.8  0.51 0.37 0.21
 0.6  0.46]",0.02
cooperative,Stackelberg,1,3,0.20990991592407227,2,0.37,"[0.8  0.51 0.51 0.07 0.6  0.46 0.37 0.21 0.51 0.07 0.8  0.51 0.37 0.21
 0.6  0.46]",0.004
cooperative,Stackelberg,2,1,4.267348527908325,17,0.49,"[0.46 0.21 0.6  0.37 0.81 0.46 0.49 0.6  0.51 0.07 0.8  0.51 0.44 0.51
 1.11 0.8 ]",0.1
cooperative,Stackelberg,2,2,4.025312185287476,17,0.49,"[0.46 0.21 0.6  0.37 0.81 0.46 0.49 0.6  0.51 0.07 0.8  0.51 0.44 0.51
 1.11 0.8 ]",0.02
cooperative,Stackelberg,2,3,4.027292013168335,17,0.49,"[0.46 0.21 0.6  0.37 0.81 0.46 0.49 0.6  0.51 0.07 0.8  0.51 0.44 0.51
 1.11 0.8 ]",0.004
cooperative,Stackelberg,3,1,58.82472634315491,183,0.74,"[0.8  0.51 0.51 0.07 1.71 0.46 0.74 0.21 0.51 0.07 0.8  0.51 0.74 0.21
 1.71 0.46]",0.1
cooperative,Stackelberg,3,2,154.42849445343018,522,0.74,"[0.8  0.51 0.51 0.07 1.71 0.46 0.74 0.21 0.51 0.07 0.8  0.51 0.74 0.21
 1.71 0.46]",0.02
cooperative,Stackelberg,3,3,148.19862151145935,530,0.74,"[0.8  0.51 0.51 0.07 1.71 0.46 0.74 0.21 0.51 0.07 0.8  0.51 0.74 0.21
 1.71 0.46]",0.004
cooperative,Stackelberg,4,1,396.65337204933167,550,0.8599999999999999,"[0.8        0.51       0.51       0.07       2.30999957 0.46
 0.86       0.21       0.51       0.07       0.8        0.51
 0.81       0.21       2.31       0.46      ]",0.1
cooperative,Stackelberg,4,2,2968.6808536052704,4605,0.8599999999999999,"[0.8        0.51       0.51       0.07       2.30999975 0.46
 0.86       0.21       0.51       0.07       0.8        0.51
 0.81       0.21       2.31       0.46      ]",0.02
cooperative,Stackelberg,4,3,4492.483897924423,8282,0.8599999999999999,"[0.8  0.51 0.51 0.07 2.31 0.46 0.86 0.21 0.51 0.07 0.8  0.51 0.81 0.21
 2.31 0.46]",0.004
cooperative,Stackelberg,5,1,1043.443988084793,838,1.1100008135198929,"[0.46       0.21       0.6        0.37       2.61000096 0.46
 1.11000081 0.6        0.51       0.07       0.8        0.51
 0.81000081 0.51       2.9100019  0.8       ]",0.1
cooperative,Stackelberg,5,2,38602.51232433319,14461,1.1099999999999999,"[0.8        0.51       0.51       0.07       2.9099998  0.46
 1.11       0.21       0.51       0.07       0.8        0.51
 1.11000039 0.21       2.90999951 0.46      ]",0.02
