gametype,SOTA,horizon,iterations,time,number_of_beliefs,leader values,follower values,density
cooperative,Stackelberg,1,1,1.2262639999389648,2,-1.0,[-1. -1. -1. -1. -1. -1. -1. -1.],0.2
cooperative,Stackelberg,1,2,0.1990976333618164,2,-1.0,[-1. -1. -1. -1. -1. -1. -1. -1.],0.1
cooperative,Stackelberg,2,1,0.9788336753845215,7,10.625,[99. -2. -2. -2. -2. -2. -2. -2.],0.2
cooperative,Stackelberg,2,2,1.6164894104003906,11,10.625,[99. -2. -2. -2. -2. -2. -2. -2.],0.1
cooperative,Stackelberg,3,1,3.1652398109436035,9,9.625,[98. -3. -3. -3. -3. -3. -3. -3.],0.2
cooperative,Stackelberg,3,2,7.689331531524658,25,9.625,[98. -3. -3. -3. -3. -3. -3. -3.],0.1
cooperative,Stackelberg,4,1,4.172940731048584,11,21.25,[198.  -4.  -4.  -4.  -4.  -4.  -4.  -4.],0.2
cooperative,Stackelberg,4,2,19.04473376274109,66,21.25,[198.  -4.  -4.  -4.  -4.  -4.  -4.  -4.],0.1
cooperative,Stackelberg,5,1,7.084453105926514,11,20.25,[197.  -5.  -5.  -5.  -5.  -5.  -5.  -5.],0.2
cooperative,Stackelberg,5,2,49.36583924293518,141,20.25,[197.  -5.  -5.  -5.  -5.  -5.  -5.  -5.],0.1
cooperative,Stackelberg,6,1,9.155762195587158,11,31.875,[297.  -6.  -6.  -6.  -6.  -6.  -6.  -6.],0.2
cooperative,Stackelberg,6,2,102.07132887840271,216,31.875,[297.  -6.  -6.  -6.  -6.  -6.  -6.  -6.],0.1
cooperative,Stackelberg,7,1,11.425242900848389,11,30.875,[296.  -7.  -7.  -7.  -7.  -7.  -7.  -7.],0.2
cooperative,Stackelberg,7,2,161.05819606781006,255,30.875,[296.  -7.  -7.  -7.  -7.  -7.  -7.  -7.],0.1
cooperative,Stackelberg,8,1,12.870065689086914,11,42.5,[396.  -8.  -8.  -8.  -8.  -8.  -8.  -8.],0.2
cooperative,Stackelberg,8,2,210.38646531105042,257,42.5,[396.  -8.  -8.  -8.  -8.  -8.  -8.  -8.],0.1
cooperative,Stackelberg,9,1,15.26350450515747,11,41.5,[395.  -9.  -9.  -9.  -9.  -9.  -9.  -9.],0.2
cooperative,Stackelberg,9,2,315.70280027389526,257,41.5,[395.  -9.  -9.  -9.  -9.  -9.  -9.  -9.],0.1
cooperative,Stackelberg,10,1,23.66099739074707,11,53.125,[495. -10. -10. -10. -10. -10. -10. -10.],0.2
cooperative,Stackelberg,10,2,409.578097820282,257,53.125,[495. -10. -10. -10. -10. -10. -10. -10.],0.1
cooperative,State of the Art,1,1,0.0008769035339355469,2,-1.0,[-1. -1. -1. -1. -1. -1. -1. -1.],0.2
cooperative,State of the Art,1,2,0.0008296966552734375,2,-1.0,[-1. -1. -1. -1. -1. -1. -1. -1.],0.1
cooperative,State of the Art,2,1,0.02364635467529297,7,10.625,[-1. -1. -1. -1. -1. -1. -1. -1.],0.2
cooperative,State of the Art,2,2,0.026052474975585938,11,10.625,[-1. -1. -1. -1. -1. -1. -1. -1.],0.1
cooperative,State of the Art,3,1,0.12403678894042969,9,9.625,[-1. -1. -1. -1. -1. -1. -1. -1.],0.2
cooperative,State of the Art,3,2,0.20207881927490234,25,9.625,[-1. -1. -1. -1. -1. -1. -1. -1.],0.1
cooperative,State of the Art,4,1,0.2354872226715088,11,21.25,[-1. -1. -1. -1. -1. -1. -1. -1.],0.2
cooperative,State of the Art,4,2,0.756859540939331,66,21.25,[-1. -1. -1. -1. -1. -1. -1. -1.],0.1
cooperative,State of the Art,5,1,0.40726423263549805,11,20.25,[-1. -1. -1. -1. -1. -1. -1. -1.],0.2
cooperative,State of the Art,5,2,2.7913503646850586,141,20.25,[-1. -1. -1. -1. -1. -1. -1. -1.],0.1
cooperative,State of the Art,6,1,0.5056607723236084,11,31.875,[-1. -1. -1. -1. -1. -1. -1. -1.],0.2
cooperative,State of the Art,6,2,8.08833122253418,216,31.875,[-1. -1. -1. -1. -1. -1. -1. -1.],0.1
cooperative,State of the Art,7,1,0.6993753910064697,11,30.875,[-1. -1. -1. -1. -1. -1. -1. -1.],0.2
cooperative,State of the Art,7,2,16.13164496421814,255,30.875,[-1. -1. -1. -1. -1. -1. -1. -1.],0.1
cooperative,State of the Art,8,1,0.8526346683502197,11,42.5,[-1. -1. -1. -1. -1. -1. -1. -1.],0.2
cooperative,State of the Art,8,2,24.29240655899048,257,42.5,[-1. -1. -1. -1. -1. -1. -1. -1.],0.1
cooperative,State of the Art,9,1,1.0032854080200195,11,41.5,[-1. -1. -1. -1. -1. -1. -1. -1.],0.2
cooperative,State of the Art,9,2,32.58144807815552,257,41.5,[-1. -1. -1. -1. -1. -1. -1. -1.],0.1
cooperative,State of the Art,10,1,1.061784029006958,11,53.125,[-1. -1. -1. -1. -1. -1. -1. -1.],0.2
cooperative,State of the Art,10,2,40.371479511260986,257,53.125,[-1. -1. -1. -1. -1. -1. -1. -1.],0.1
zerosum,Stackelberg,1,1,0.49808621406555176,2,-91.72240802675586,"[ 33.77926421 100.         100.         100.         100.
 100.         100.         100.        ]",0.2
zerosum,Stackelberg,1,2,0.16104722023010254,2,-91.72240802675586,"[ 33.77926421 100.         100.         100.         100.
 100.         100.         100.        ]",0.1
zerosum,Stackelberg,2,1,2.037122964859009,7,-183.44481605351172,"[ 67.55852843 200.         200.         200.         200.
 200.         200.         200.        ]",0.2
zerosum,Stackelberg,2,2,3.7955808639526367,11,-183.44481605351172,"[ 67.55852843 200.         200.         200.         200.
 200.         200.         200.        ]",0.1
zerosum,Stackelberg,3,1,3.593190908432007,9,-276.63774391121524,"[113.10195129 300.         300.         300.         300.
 300.         300.         300.        ]",0.2
zerosum,Stackelberg,3,2,8.67392110824585,25,-276.63774391121524,"[113.10195129 300.         300.         300.         300.
 300.         300.         300.        ]",0.1
zerosum,Stackelberg,4,1,6.680201530456543,11,-369.4143700601349,"[155.31496048 400.         400.         400.         400.
 400.         400.         400.        ]",0.2
zerosum,Stackelberg,4,2,27.808538675308228,66,-369.4143700601349,"[155.31496048 400.         400.         400.         400.
 400.         400.         400.        ]",0.1
zerosum,Stackelberg,5,1,10.84430718421936,11,-462.0568966667093,"[196.45517333 500.         500.         500.         500.
 500.         500.         500.        ]",0.2
zerosum,Stackelberg,5,2,65.35432291030884,141,-462.0568966667093,"[196.45517333 500.         500.         500.         500.
 500.         500.         500.        ]",0.1
zerosum,Stackelberg,6,1,8.949033260345459,11,-554.8121349619403,"[238.4970797 600.        600.        600.        600.        600.
 600.        600.       ]",0.2
zerosum,Stackelberg,6,2,96.36511254310608,216,-554.8121349619403,"[238.4970797 600.        600.        600.        600.        600.
 600.        600.       ]",0.1
zerosum,Stackelberg,7,1,11.334409475326538,11,-647.5573624861818,"[280.45889989 700.         700.         700.         700.
 700.         700.         700.        ]",0.2
zerosum,Stackelberg,7,2,191.5069580078125,255,-647.5573624861818,"[280.45889989 700.         700.         700.         700.
 700.         700.         700.        ]",0.1
zerosum,Stackelberg,8,1,15.345232725143433,11,-740.2860410396122,"[322.28832832 800.         800.         800.         800.
 800.         800.         800.        ]",0.2
zerosum,Stackelberg,8,2,224.59390926361084,257,-740.2860410396122,"[322.28832832 800.         800.         800.         800.
 800.         800.         800.        ]",0.1
zerosum,Stackelberg,9,1,17.35126519203186,11,-833.0213296059666,"[364.17063685 900.         900.         900.         900.
 900.         900.         900.        ]",0.2
zerosum,Stackelberg,9,2,331.5564682483673,257,-833.0213296059666,"[364.17063685 900.         900.         900.         900.
 900.         900.         900.        ]",0.1
zerosum,Stackelberg,10,1,23.05097770690918,11,-925.7575350001906,"[ 406.06028 1000.      1000.      1000.      1000.      1000.
 1000.      1000.     ]",0.2
zerosum,Stackelberg,10,2,408.11667251586914,257,-925.7575350001906,"[ 406.06028 1000.      1000.      1000.      1000.      1000.
 1000.      1000.     ]",0.1
zerosum,State of the Art,1,1,0.14656281471252441,2,-91.72240802675586,"[ 33.77926421 100.         100.         100.         100.
 100.         100.         100.        ]",0.2
zerosum,State of the Art,1,2,0.05526375770568848,2,-91.72240802675586,"[ 33.77926421 100.         100.         100.         100.
 100.         100.         100.        ]",0.1
zerosum,State of the Art,2,1,0.39400482177734375,7,-183.44481605351172,"[ 33.77926421 100.         100.         100.         100.
 100.         100.         100.        ]",0.2
zerosum,State of the Art,2,2,0.67913818359375,11,-183.44481605351172,"[ 33.77926421 100.         100.         100.         100.
 100.         100.         100.        ]",0.1
zerosum,State of the Art,3,1,1.0423507690429688,9,-275.1672240802676,"[ 33.77926421 100.         100.         100.         100.
 100.         100.         100.        ]",0.2
zerosum,State of the Art,3,2,2.2751898765563965,25,-275.1672240802676,"[ 33.77926421 100.         100.         100.         100.
 100.         100.         100.        ]",0.1
zerosum,State of the Art,4,1,1.8039262294769287,11,-368.02619580227645,"[ 33.16127808 100.         100.         100.         100.
 100.         100.         100.        ]",0.2
zerosum,State of the Art,4,2,6.728888034820557,66,-368.02619580227645,"[ 33.16127808 100.         100.         100.         100.
 100.         100.         100.        ]",0.1
zerosum,State of the Art,5,1,2.5799341201782227,11,-460.2563824208411,"[ 33.65591399 100.         100.         100.         100.
 100.         100.         100.        ]",0.2
zerosum,State of the Art,5,2,17.580435514450073,141,-460.2563824208411,"[ 33.65591399 100.         100.         100.         100.
 100.         100.         100.        ]",0.1
zerosum,State of the Art,6,1,3.241610050201416,11,-552.7859536216342,"[ 33.46758069 100.         100.         100.         100.
 100.         100.         100.        ]",0.2
zerosum,State of the Art,6,2,34.521445751190186,216,-552.7859536216342,"[ 33.46758069 100.         100.         100.         100.
 100.         100.         100.        ]",0.1
zerosum,State of the Art,7,1,3.9292542934417725,11,-644.8715529046617,"[ 33.71615948 100.         100.         100.         100.
 100.         100.         100.        ]",0.2
zerosum,State of the Art,7,2,60.14389181137085,255,-644.8715529046617,"[ 33.71615948 100.         100.         100.         100.
 100.         100.         100.        ]",0.1
zerosum,State of the Art,8,1,5.072111368179321,11,-737.493124432282,"[ 33.39248021 100.         100.         100.         100.
 100.         100.         100.        ]",0.2
zerosum,State of the Art,8,2,83.97139763832092,257,-737.493124432282,"[ 33.39248021 100.         100.         100.         100.
 100.         100.         100.        ]",0.1
zerosum,State of the Art,9,1,5.788136005401611,11,-829.6195539892975,"[ 33.70117336 100.         100.         100.         100.
 100.         100.         100.        ]",0.2
zerosum,State of the Art,9,2,107.45624041557312,257,-829.6195539892975,"[ 33.70117336 100.         100.         100.         100.
 100.         100.         100.        ]",0.1
zerosum,State of the Art,10,1,6.2611753940582275,11,-922.2150975983982,"[ 33.41454844 100.         100.         100.         100.
 100.         100.         100.        ]",0.2
zerosum,State of the Art,10,2,132.55480194091797,257,-922.2150975983982,"[ 33.41454844 100.         100.         100.         100.
 100.         100.         100.        ]",0.1
stackelberg,Stackelberg,1,1,0.20933771133422852,2,-38.125,"[40.79759036 52.03413655 -7.9497992  57.62208835 48.42409639 24.28995984
 52.41726908 58.87670683]",0.2
stackelberg,Stackelberg,1,2,0.18645095825195312,2,-38.125,"[40.79759036 52.03413655 -7.9497992  57.62208835 48.42409639 24.28995984
 52.41726908 58.87670683]",0.1
stackelberg,Stackelberg,2,1,1.032684564590454,7,-76.25,"[ 83.98835762 110.42995968  -5.1420438  116.75463624 100.32593044
  52.22895814 106.77108507 118.99572169]",0.2
stackelberg,Stackelberg,2,2,1.8146564960479736,11,-76.41119519170446,"[ 84.69902227 129.06716861  -8.43503463 122.35998753  99.43495631
  82.25692982 127.26328943 119.43269539]",0.1
stackelberg,Stackelberg,3,1,2.849700450897217,9,-126.75,"[118.90354952 179.78742305 -21.85488969 171.90504989 137.85576213
 110.66846912 165.06832625 173.67983674]",0.2
stackelberg,Stackelberg,3,2,7.437579870223999,25,-109.68534323698607,"[100.9563322  178.50357031 -14.96313164 119.22280366 193.29891534
 123.69824372 203.64051501 221.28338392]",0.1
stackelberg,Stackelberg,4,1,4.947991371154785,11,-115.25,"[183.         265.78742305 -41.85488969 246.90504989 164.85576213
 206.66846912 263.06832625 236.67983674]",0.2
stackelberg,Stackelberg,4,2,26.932135820388794,66,-124.95726678845494,"[165.199739   254.65158291 -34.50783699 219.44837888 232.09755541
 210.52779146 244.91848843 269.23173649]",0.1
stackelberg,Stackelberg,5,1,7.67217493057251,11,-153.375,"[224.05053763 318.56430477 -49.09413701 305.00773806 213.04070837
 230.93083472 316.09036926 295.3932776 ]",0.2
stackelberg,Stackelberg,5,2,61.298478841781616,141,-121.5354687503109,"[223.199739   376.98087062  34.23589398 277.25973813 312.09755541
 264.17458544 312.1072278  340.23173649]",0.1
stackelberg,Stackelberg,6,1,8.553008556365967,11,-159.125,"[242.         368.56430477 -58.09413701 301.00773806 308.04070837
 271.93083472 394.09036926 381.3932776 ]",0.2
stackelberg,Stackelberg,6,2,103.30704736709595,216,-176.9067529549425,"[263.92074988 435.35421437   4.26931546 365.64475715 321.70464718
 350.0418519  428.00378057 380.85064788]",0.1
stackelberg,Stackelberg,7,1,12.939417362213135,11,-197.25,"[282.79759036 420.59844132 -66.0439362  358.62982642 356.46480475
 296.22079456 446.50763834 440.26998443]",0.2
stackelberg,Stackelberg,7,2,181.62932538986206,255,-169.21088925329767,"[302.88856433 508.67355266 -13.97697601 417.08837817 365.29671534
 465.07488563 505.36948255 444.66005182]",0.1
stackelberg,Stackelberg,8,1,17.73419737815857,11,-203.0,"[301.         470.59844132 -75.0439362  354.62982642 451.46480475
 337.22079456 524.50763834 526.26998443]",0.2
stackelberg,Stackelberg,8,2,258.5417342185974,257,-145.01246159324168,"[360.92074988 611.6251918   22.43841536 483.69387691 390.09926949
 516.67375717 587.52294932 507.66005182]",0.1
stackelberg,Stackelberg,9,1,19.421008825302124,11,-241.125,"[342.05053763 523.37532304 -82.28318351 412.73251459 499.64975099
 361.48316015 577.52968135 584.98342529]",0.2
stackelberg,Stackelberg,9,2,335.8119435310364,257,-133.6374615932417,"[377.92074988 661.6251918   37.43841536 479.69387691 485.09926949
 557.67375717 665.52294932 605.58082595]",0.1
stackelberg,Stackelberg,10,1,19.69977855682373,11,-279.25,"[ 396.08445267  607.60483123 -101.74219991  481.83087524  521.38745591
  452.07332408  667.07066496  645.27850726]",0.2
stackelberg,Stackelberg,10,2,342.658899307251,257,-141.73757168886112,"[435.92074988 754.82291502 129.24899763 498.26639483 565.09926949
 547.67375717 654.42949025 676.58082595]",0.1
stackelberg,State of the Art,1,1,0.7686996459960938,2,-38.125,"[40.79759036 52.03413655 -7.9497992  57.62208835 48.42409639 24.28995984
 52.41726908 58.87670683]",0.2
stackelberg,State of the Art,1,2,0.2194080352783203,2,-38.125,"[40.79759036 52.03413655 -7.9497992  57.62208835 48.42409639 24.28995984
 52.41726908 58.87670683]",0.1
stackelberg,State of the Art,2,1,1.353557825088501,7,-51.49999999999999,"[ 76.9869281   81.08496732 -19.32026144  66.89542484  21.30065359
  87.05882353  92.71895425  63.31372549]",0.2
stackelberg,State of the Art,2,2,2.13611102104187,11,-78.3505845037777,"[ 40.0155909   52.04560294 -11.99830422  57.42321269  45.67779363
  29.59163743  51.66282272  56.7289702 ]",0.1
stackelberg,State of the Art,3,1,3.036189079284668,9,-89.625,"[40.79759036 52.03413655 -7.9497992  57.62208835 48.42409639 24.28995984
 52.41726908 58.87670683]",0.2
stackelberg,State of the Art,3,2,7.333666086196899,25,-79.02846434412096,[58. 97. 74. 65. 80. 55. 62. 71.],0.1
stackelberg,State of the Art,4,1,4.839973211288452,11,-133.28754266211604,"[45.98634812 39.40955631  5.72696246 66.3105802  27.50853242 23.76450512
 63.70989761 45.39590444]",0.2
stackelberg,State of the Art,4,2,22.903730869293213,66,-106.00447570337258,"[53.827733   21.42043293 16.08527307 66.28724753 17.97518341 23.32433656
 62.9860067  28.45802011]",0.1
stackelberg,State of the Art,5,1,7.788660049438477,11,-171.41254266211604,"[43.54744526 60.86861314 -4.83211679 66.31386861 39.27007299 37.33576642
 63.35036496 65.05839416]",0.2
stackelberg,State of the Art,5,2,49.562740087509155,141,-107.43405964778788,"[43.52672844 60.80541696 -4.87598004 66.2637206  39.31004989 37.29650748
 63.25089095 65.01781896]",0.1
stackelberg,State of the Art,6,1,9.670541048049927,11,-175.66680887372013,[ 83.  86. -20.  75.  27.  96.  98.  63.],0.2
stackelberg,State of the Art,6,2,102.83567237854004,216,-131.7898978251652,"[ 55.96385542  71.25301205 -15.4939759   37.91566265  49.13253012
  50.93975904  27.54216867  61.79518072]",0.1
stackelberg,State of the Art,7,1,12.308678388595581,11,-198.23169564814486,"[43.54744526 60.86861314 -4.83211679 66.31386861 39.27007299 37.33576642
 63.35036496 65.05839416]",0.2
stackelberg,State of the Art,7,2,170.30692601203918,255,-168.87261016002196,"[43.52672844 60.80541696 -4.87598004 66.2637206  39.31004989 37.29650748
 63.25089095 65.01781896]",0.1
