gametype,SOTA,horizon,iterations,time,number_of_beliefs,leader values,follower values,density
cooperative,Stackelberg,1,1,0.36617588996887207,2,-0.2,"[ 0.   0.   0.   0.  -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2
  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2
 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2
  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2]",0.1
cooperative,Stackelberg,1,2,0.18324851989746094,2,-0.2,"[ 0.   0.   0.   0.  -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2
  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2
 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2
  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2]",0.02
cooperative,Stackelberg,1,3,0.1836719512939453,2,-0.2,"[ 0.   0.   0.   0.  -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2
  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2
 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2
  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2]",0.004
cooperative,Stackelberg,1,4,0.18525218963623047,2,-0.2,"[ 0.   0.   0.   0.  -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2
  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2
 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2
  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2]",0.0008
cooperative,Stackelberg,2,1,33.08579897880554,17,-0.4000000000000001,"[ 0.   0.   0.   0.  -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.4 -0.2 -0.4  9.8 -0.2 -0.2 -0.4
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2
  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.4 -0.2 -0.2
 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.4 -0.2 -0.2  9.8 -0.2 -0.2 -0.4
  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2]",0.1
cooperative,Stackelberg,2,2,32.624075412750244,17,-0.4000000000000001,"[ 0.   0.   0.   0.  -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.4 -0.2 -0.4  9.8 -0.2 -0.2 -0.4
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2
  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.4 -0.2 -0.2
 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.4 -0.2 -0.2  9.8 -0.2 -0.2 -0.4
  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2]",0.02
cooperative,Stackelberg,2,3,33.333730936050415,17,-0.4000000000000001,"[ 0.   0.   0.   0.  -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.4 -0.2 -0.4  9.8 -0.2 -0.2 -0.4
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2
  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.4 -0.2 -0.2
 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.4 -0.2 -0.2  9.8 -0.2 -0.2 -0.4
  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2]",0.004
cooperative,Stackelberg,2,4,33.108771085739136,17,-0.4000000000000001,"[ 0.   0.   0.   0.  -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.4 -0.2 -0.4  9.8 -0.2 -0.2 -0.4
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2
  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.4 -0.2 -0.2
 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.4 -0.2 -0.2  9.8 -0.2 -0.2 -0.4
  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2]",0.0008
cooperative,Stackelberg,3,1,1112.8455052375793,203,-0.6000000000000001,"[ 0.   0.   0.   0.  -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.6 -0.2 -0.6  9.8 -0.2 -0.2 -0.6
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2
  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.6 -0.2 -0.2
 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.6 -0.2 -0.2  9.8 -0.2 -0.2 -0.6
  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2]",0.1
cooperative,Stackelberg,3,2,1181.2685716152191,203,-0.6000000000000001,"[ 0.   0.   0.   0.  -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.6 -0.2 -0.6  9.8 -0.2 -0.2 -0.6
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2
 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2
  9.8 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.6 -0.2 -0.2
 -0.2 -0.2  9.8 -0.2 -0.2 -0.2 -0.2 -0.6 -0.2 -0.2  9.8 -0.2 -0.2 -0.6
  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2 -0.2 -0.2  9.8 -0.2
 -0.2 -0.2]",0.02
