horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
1,cooperative,Stackelberg,1,0.023426055908203125,2,1.0000000000000002,[0. 1. 0. 1.],0.2
1,cooperative,State of the Art,1,0.00015091896057128906,2,1.0000000000000002,[0. 1. 0. 1.],0.2
1,cooperative,Stackelberg,2,0.012138843536376953,3,1.0000000000000002,[0. 1. 0. 1.],0.04
1,cooperative,State of the Art,2,0.00013899803161621094,3,1.0000000000000002,[0. 1. 0. 1.],0.04
1,zerosum,Stackelberg,1,0.01763129234313965,2,0.5,[ 0.   0.   0.  -0.5],0.2
1,zerosum,State of the Art,1,0.020361900329589844,2,0.5,[ 0.   0.  -0.5 -0.5],0.2
1,zerosum,Stackelberg,2,0.015390872955322266,3,0.5,[ 0.   0.   0.  -0.5],0.04
1,zerosum,State of the Art,2,0.019475221633911133,3,0.5,[ 0.   0.  -0.5 -0.5],0.04
1,generalsum,Stackelberg,1,0.012674093246459961,2,2.0,[0. 0. 1. 1.],0.2
1,generalsum,State of the Art,1,0.012392997741699219,2,2.0,[0. 0. 1. 1.],0.2
1,generalsum,Stackelberg,2,0.01209115982055664,3,2.0,[0. 0. 1. 1.],0.04
1,generalsum,State of the Art,2,0.012253999710083008,3,2.0,[0. 0. 1. 1.],0.04
2,cooperative,Stackelberg,1,0.039968013763427734,2,2.0,[0.9 1.9 1.  2. ],0.2
2,cooperative,State of the Art,1,0.0018427371978759766,2,2.0,[0.9 1.9 1.  2. ],0.2
2,cooperative,Stackelberg,2,0.06553411483764648,6,2.0,[0.9 1.9 1.  2. ],0.04
2,cooperative,State of the Art,2,0.0019392967224121094,6,2.0,[0.9 1.9 1.  2. ],0.04
2,zerosum,Stackelberg,1,0.050727128982543945,2,0.7672634271099743,[-0.045      -0.45       -0.04859335 -0.76726343],0.2
2,zerosum,State of the Art,1,0.06043815612792969,2,0.7672634271099745,[-0.45       -0.45       -0.76726343 -0.76726343],0.2
2,zerosum,Stackelberg,2,0.08190178871154785,6,0.7672634271099743,[-0.045      -0.45       -0.04859335 -0.76726343],0.04
