horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
1,cooperative,Stackelberg,1,0.02935194969177246,4,9.0,[9. 9.],0.2
1,cooperative,State of the Art,1,0.00016307830810546875,4,9.0,[9. 9.],0.2
1,cooperative,Stackelberg,2,0.01617908477783203,4,9.0,[9. 9.],0.04
1,cooperative,State of the Art,2,0.00015997886657714844,4,9.0,[9. 9.],0.04
1,zerosum,Stackelberg,1,0.019664764404296875,4,-75.0,[65.9375 84.0625],0.2
1,zerosum,State of the Art,1,0.0774378776550293,4,-75.0,[84.0625 65.9375],0.2
1,zerosum,Stackelberg,2,0.04016828536987305,4,-75.0,[65.9375 84.0625],0.04
1,zerosum,State of the Art,2,0.026688098907470703,4,-75.0,[84.0625 65.9375],0.04
1,generalsum,Stackelberg,1,0.015604972839355469,4,30.0,[ 70. -15.],0.2
1,generalsum,State of the Art,1,0.01192021369934082,4,30.0,[ 70. -15.],0.2
1,generalsum,Stackelberg,2,0.01288604736328125,4,30.0,[ 70. -15.],0.04
1,generalsum,State of the Art,2,0.013196945190429688,4,30.0,[ 70. -15.],0.04
2,cooperative,Stackelberg,1,0.08156371116638184,4,18.0,[18. 18.],0.2
2,cooperative,State of the Art,1,0.001096963882446289,4,18.0,[18. 18.],0.2
2,cooperative,Stackelberg,2,0.07773709297180176,4,18.0,[18. 18.],0.04
2,cooperative,State of the Art,2,0.0010669231414794922,4,18.0,[18. 18.],0.04
2,zerosum,Stackelberg,1,0.09033584594726562,4,-150.0,[159.0625 140.9375],0.2
2,zerosum,State of the Art,1,0.10688614845275879,4,-150.0,[159.0625 140.9375],0.2
2,zerosum,Stackelberg,2,0.09099102020263672,4,-150.0,[159.0625 140.9375],0.04
2,zerosum,State of the Art,2,0.10592007637023926,4,-150.0,[159.0625 140.9375],0.04
2,generalsum,Stackelberg,1,0.06960892677307129,4,60.0,[97.5 12.5],0.2
2,generalsum,State of the Art,1,0.06653094291687012,4,60.0,[97.5 12.5],0.2
2,generalsum,Stackelberg,2,0.06952810287475586,4,60.0,[97.5 12.5],0.04
2,generalsum,State of the Art,2,0.07153081893920898,4,60.0,[97.5 12.5],0.04
3,cooperative,Stackelberg,1,0.15850496292114258,4,27.0,[27. 27.],0.2
3,cooperative,State of the Art,1,0.004246950149536133,4,27.0,[27. 27.],0.2
3,cooperative,Stackelberg,2,0.19451308250427246,6,27.0,[27. 27.],0.04
3,cooperative,State of the Art,2,0.004041194915771484,6,27.0,[27. 27.],0.04
3,zerosum,Stackelberg,1,0.18314599990844727,4,-225.0,[234.0625 215.9375],0.2
3,zerosum,State of the Art,1,0.1956632137298584,4,-225.0,[215.9375 234.0625],0.2
3,zerosum,Stackelberg,2,0.22378087043762207,6,-225.0,[234.0625 215.9375],0.04
3,zerosum,State of the Art,2,0.23396587371826172,6,-225.0,[215.9375 234.0625],0.04
3,generalsum,Stackelberg,1,0.1380000114440918,4,90.0,[125.  40.],0.2
3,generalsum,State of the Art,1,0.13842391967773438,4,90.0,[125.  40.],0.2
3,generalsum,Stackelberg,2,0.1816723346710205,6,90.0,[125.  40.],0.04
3,generalsum,State of the Art,2,0.16647100448608398,6,90.0,[125.  40.],0.04
4,cooperative,Stackelberg,1,0.21369290351867676,4,36.0,[36. 36.],0.2
4,cooperative,State of the Art,1,0.00732111930847168,4,36.0,[36. 36.],0.2
4,cooperative,Stackelberg,2,0.22036218643188477,4,36.0,[36. 36.],0.04
4,cooperative,State of the Art,2,0.007184028625488281,4,36.0,[36. 36.],0.04
4,zerosum,Stackelberg,1,0.28204798698425293,4,-300.0,[309.0625 290.9375],0.2
4,zerosum,State of the Art,1,0.36161303520202637,4,-300.0,[290.9375 309.0625],0.2
4,zerosum,Stackelberg,2,0.26949191093444824,4,-300.0,[309.0625 290.9375],0.04
4,zerosum,State of the Art,2,0.29843831062316895,4,-300.0,[290.9375 309.0625],0.04
4,generalsum,Stackelberg,1,0.21940374374389648,4,120.0,[152.5  67.5],0.2
4,generalsum,State of the Art,1,0.23140811920166016,4,120.0,[152.5  67.5],0.2
4,generalsum,Stackelberg,2,0.2516770362854004,4,120.0,[152.5  67.5],0.04
4,generalsum,State of the Art,2,0.24368810653686523,4,120.0,[152.5  67.5],0.04
5,cooperative,Stackelberg,1,0.29454898834228516,4,45.0,[45. 45.],0.2
5,cooperative,State of the Art,1,0.01005411148071289,4,45.0,[45. 45.],0.2
5,cooperative,Stackelberg,2,0.36047816276550293,5,45.0,[45. 45.],0.04
5,cooperative,State of the Art,2,0.011363029479980469,5,45.0,[45. 45.],0.04
5,zerosum,Stackelberg,1,0.4957120418548584,4,-375.0,[384.0625 365.9375],0.2
5,zerosum,State of the Art,1,0.3819730281829834,4,-375.0,[384.0625 365.9375],0.2
5,zerosum,Stackelberg,2,0.4259152412414551,5,-375.0,[384.0625 365.9375],0.04
5,zerosum,State of the Art,2,0.4242258071899414,5,-375.0,[384.0625 365.9375],0.04
5,generalsum,Stackelberg,1,0.2735762596130371,4,150.0,[180.  95.],0.2
5,generalsum,State of the Art,1,0.2769150733947754,4,150.0,[180.  95.],0.2
5,generalsum,Stackelberg,2,0.43007493019104004,5,150.0,[180.  95.],0.04
5,generalsum,State of the Art,2,0.33386707305908203,5,150.0,[180.  95.],0.04
6,cooperative,Stackelberg,1,0.3627967834472656,4,54.0,[54. 54.],0.2
6,cooperative,State of the Art,1,0.012772798538208008,4,54.0,[54. 54.],0.2
6,cooperative,Stackelberg,2,0.3650777339935303,4,54.0,[54. 54.],0.04
6,cooperative,State of the Art,2,0.012772083282470703,4,54.0,[54. 54.],0.04
6,zerosum,Stackelberg,1,0.4342970848083496,4,-450.0,[459.0625 440.9375],0.2
6,zerosum,State of the Art,1,0.4563281536102295,4,-450.0,[459.0625 440.9375],0.2
6,zerosum,Stackelberg,2,0.5490438938140869,4,-450.0,[459.0625 440.9375],0.04
6,zerosum,State of the Art,2,0.4495999813079834,4,-450.0,[459.0625 440.9375],0.04
6,generalsum,Stackelberg,1,0.34647178649902344,4,180.0,[207.5 122.5],0.2
6,generalsum,State of the Art,1,0.3435821533203125,4,180.0,[207.5 122.5],0.2
6,generalsum,Stackelberg,2,0.32941389083862305,4,180.0,[207.5 122.5],0.04
6,generalsum,State of the Art,2,0.4378359317779541,4,180.0,[207.5 122.5],0.04
7,cooperative,Stackelberg,1,0.4256908893585205,4,63.0,[63. 63.],0.2
7,cooperative,State of the Art,1,0.015956878662109375,4,63.0,[63. 63.],0.2
7,cooperative,Stackelberg,2,0.5193467140197754,5,63.0,[63. 63.],0.04
7,cooperative,State of the Art,2,0.018684864044189453,5,63.0,[63. 63.],0.04
7,zerosum,Stackelberg,1,0.5648791790008545,4,-525.0,[534.0625 515.9375],0.2
7,zerosum,State of the Art,1,0.6295530796051025,4,-525.0,[534.0625 515.9375],0.2
7,zerosum,Stackelberg,2,0.6358280181884766,5,-525.0,[534.0625 515.9375],0.04
7,zerosum,State of the Art,2,0.6588311195373535,5,-525.0,[534.0625 515.9375],0.04
7,generalsum,Stackelberg,1,0.5295999050140381,4,210.0,[235. 150.],0.2
7,generalsum,State of the Art,1,0.5357182025909424,4,210.0,[235. 150.],0.2
7,generalsum,Stackelberg,2,0.4935019016265869,5,210.0,[235. 150.],0.04
7,generalsum,State of the Art,2,0.6217741966247559,5,210.0,[235. 150.],0.04
8,cooperative,Stackelberg,1,0.5233099460601807,4,72.0,[72. 72.],0.2
8,cooperative,State of the Art,1,0.018010854721069336,4,72.0,[72. 72.],0.2
8,cooperative,Stackelberg,2,0.6399221420288086,5,72.0,[72. 72.],0.04
8,cooperative,State of the Art,2,0.02149510383605957,5,72.0,[72. 72.],0.04
8,zerosum,Stackelberg,1,0.7969191074371338,4,-600.0,[609.0625 590.9375],0.2
8,zerosum,State of the Art,1,0.6507561206817627,4,-600.0,[609.0625 590.9375],0.2
8,zerosum,Stackelberg,2,0.729377031326294,5,-600.0,[609.0625 590.9375],0.04
8,zerosum,State of the Art,2,0.8473238945007324,5,-600.0,[609.0625 590.9375],0.04
8,generalsum,Stackelberg,1,0.48746800422668457,4,240.0,[262.5 177.5],0.2
8,generalsum,State of the Art,1,0.633965015411377,4,240.0,[262.5 177.5],0.2
8,generalsum,Stackelberg,2,0.5965986251831055,5,240.0,[262.5 177.5],0.04
8,generalsum,State of the Art,2,0.7771577835083008,5,240.0,[262.5 177.5],0.04
9,cooperative,Stackelberg,1,0.6102902889251709,4,81.0,[81. 81.],0.2
9,cooperative,State of the Art,1,0.020979881286621094,4,81.0,[81. 81.],0.2
9,cooperative,Stackelberg,2,0.6342289447784424,4,81.0,[81. 81.],0.04
9,cooperative,State of the Art,2,0.020917892456054688,4,81.0,[81. 81.],0.04
9,zerosum,Stackelberg,1,0.9155178070068359,4,-675.0,[684.0625 665.9375],0.2
9,zerosum,State of the Art,1,0.7920441627502441,4,-675.0,[684.0625 665.9375],0.2
9,zerosum,Stackelberg,2,0.7582650184631348,4,-675.0,[684.0625 665.9375],0.04
9,zerosum,State of the Art,2,0.7863302230834961,4,-675.0,[684.0625 665.9375],0.04
9,generalsum,Stackelberg,1,0.5916552543640137,4,270.0,[290. 205.],0.2
9,generalsum,State of the Art,1,0.7297930717468262,4,270.0,[290. 205.],0.2
9,generalsum,Stackelberg,2,0.5784182548522949,4,270.0,[290. 205.],0.04
9,generalsum,State of the Art,2,0.5769033432006836,4,270.0,[290. 205.],0.04
10,cooperative,Stackelberg,1,0.7287998199462891,4,90.0,[90. 90.],0.2
10,cooperative,State of the Art,1,0.023645877838134766,4,90.0,[90. 90.],0.2
10,cooperative,Stackelberg,2,0.818120002746582,4,90.0,[90. 90.],0.04
10,cooperative,State of the Art,2,0.02380990982055664,4,90.0,[90. 90.],0.04
10,zerosum,Stackelberg,1,0.7939441204071045,4,-750.0,[759.0625 740.9375],0.2
10,zerosum,State of the Art,1,0.9150500297546387,4,-750.0,[759.0625 740.9375],0.2
10,zerosum,Stackelberg,2,0.8035120964050293,4,-750.0,[759.0625 740.9375],0.04
10,zerosum,State of the Art,2,0.9091598987579346,4,-750.0,[759.0625 740.9375],0.04
10,generalsum,Stackelberg,1,0.6484549045562744,4,300.0,[317.5 232.5],0.2
10,generalsum,State of the Art,1,0.7398600578308105,4,300.0,[317.5 232.5],0.2
10,generalsum,Stackelberg,2,0.7902007102966309,4,300.0,[317.5 232.5],0.04
10,generalsum,State of the Art,2,0.6541507244110107,4,300.0,[317.5 232.5],0.04
