gametype,SOTA,horizon,iterations,time,number_of_beliefs,leader values,follower values,density
cooperative,Stackelberg,1,1,1.2361741065979004,2,-2.9928962962933032,"[-1.0000e-03 -1.0050e+00 -2.0010e+00 -9.9600e-01 -1.9960e+00 -2.9880e+00
 -1.9960e+00 -2.9960e+00 -3.9880e+00 -9.9420e-01 -1.9972e+00 -2.9932e+00
 -1.9960e+00 -2.9960e+00 -3.9880e+00 -2.9960e+00 -3.9960e+00 -4.9880e+00
 -1.9942e+00 -2.9972e+00 -3.9932e+00 -2.9880e+00 -3.9880e+00 -4.9800e+00
 -3.9880e+00 -4.9880e+00 -5.9800e+00]",0.3
cooperative,Stackelberg,1,2,0.4436206817626953,2,-2.9928962962933032,"[-1.0000e-03 -1.0050e+00 -2.0010e+00 -9.9600e-01 -1.9960e+00 -2.9880e+00
 -1.9960e+00 -2.9960e+00 -3.9880e+00 -9.9420e-01 -1.9972e+00 -2.9932e+00
 -1.9960e+00 -2.9960e+00 -3.9880e+00 -2.9960e+00 -3.9960e+00 -4.9880e+00
 -1.9942e+00 -2.9972e+00 -3.9932e+00 -2.9880e+00 -3.9880e+00 -4.9800e+00
 -3.9880e+00 -4.9880e+00 -5.9800e+00]",0.15
cooperative,Stackelberg,2,1,1.738222360610962,3,-5.985792592586607,"[-2.0000e-03 -2.0100e+00 -4.0020e+00 -1.9920e+00 -3.9920e+00 -5.9760e+00
 -3.9920e+00 -5.9920e+00 -7.9760e+00 -1.9884e+00 -3.9944e+00 -5.9864e+00
 -3.9920e+00 -5.9920e+00 -7.9760e+00 -5.9920e+00 -7.9920e+00 -9.9760e+00
 -3.9884e+00 -5.9944e+00 -7.9864e+00 -5.9760e+00 -7.9760e+00 -9.9600e+00
 -7.9760e+00 -9.9760e+00 -1.1960e+01]",0.3
cooperative,Stackelberg,2,2,1.6136863231658936,3,-5.985792592586607,"[-2.0000e-03 -2.0100e+00 -4.0020e+00 -1.9920e+00 -3.9920e+00 -5.9760e+00
 -3.9920e+00 -5.9920e+00 -7.9760e+00 -1.9884e+00 -3.9944e+00 -5.9864e+00
 -3.9920e+00 -5.9920e+00 -7.9760e+00 -5.9920e+00 -7.9920e+00 -9.9760e+00
 -3.9884e+00 -5.9944e+00 -7.9864e+00 -5.9760e+00 -7.9760e+00 -9.9600e+00
 -7.9760e+00 -9.9760e+00 -1.1960e+01]",0.15
cooperative,Stackelberg,3,1,3.7593300342559814,3,-8.97868888887991,"[-3.00000e-03 -3.01500e+00 -6.00300e+00 -2.98800e+00 -5.98800e+00
 -8.96400e+00 -5.98800e+00 -8.98800e+00 -1.19640e+01 -2.98260e+00
 -5.99160e+00 -8.97960e+00 -5.98800e+00 -8.98800e+00 -1.19640e+01
 -8.98800e+00 -1.19880e+01 -1.49640e+01 -5.98260e+00 -8.99160e+00
 -1.19796e+01 -8.96400e+00 -1.19640e+01 -1.49400e+01 -1.19640e+01
 -1.49640e+01 -1.79400e+01]",0.3
cooperative,Stackelberg,3,2,4.49354362487793,5,-8.97868888887991,"[-3.00000e-03 -3.01500e+00 -6.00300e+00 -2.98800e+00 -5.98800e+00
 -8.96400e+00 -5.98800e+00 -8.98800e+00 -1.19640e+01 -2.98260e+00
 -5.99160e+00 -8.97960e+00 -5.98800e+00 -8.98800e+00 -1.19640e+01
 -8.98800e+00 -1.19880e+01 -1.49640e+01 -5.98260e+00 -8.99160e+00
 -1.19796e+01 -8.96400e+00 -1.19640e+01 -1.49400e+01 -1.19640e+01
 -1.49640e+01 -1.79400e+01]",0.15
cooperative,Stackelberg,4,1,6.292577028274536,3,-11.971585185173215,"[-4.00000e-03 -4.02000e+00 -8.00400e+00 -3.98400e+00 -7.98400e+00
 -1.19520e+01 -7.98400e+00 -1.19840e+01 -1.59520e+01 -3.97680e+00
 -7.98880e+00 -1.19728e+01 -7.98400e+00 -1.19840e+01 -1.59520e+01
 -1.19840e+01 -1.59840e+01 -1.99520e+01 -7.97680e+00 -1.19888e+01
 -1.59728e+01 -1.19520e+01 -1.59520e+01 -1.99200e+01 -1.59520e+01
 -1.99520e+01 -2.39200e+01]",0.3
cooperative,Stackelberg,4,2,10.045446395874023,9,-11.971585185173215,"[-4.00000e-03 -4.02000e+00 -8.00400e+00 -3.98400e+00 -7.98400e+00
 -1.19520e+01 -7.98400e+00 -1.19840e+01 -1.59520e+01 -3.97680e+00
 -7.98880e+00 -1.19728e+01 -7.98400e+00 -1.19840e+01 -1.59520e+01
 -1.19840e+01 -1.59840e+01 -1.99520e+01 -7.97680e+00 -1.19888e+01
 -1.59728e+01 -1.19520e+01 -1.59520e+01 -1.99200e+01 -1.59520e+01
 -1.99520e+01 -2.39200e+01]",0.15
cooperative,Stackelberg,5,1,7.909147024154663,3,-14.964481481466516,"[-5.0000e-03 -5.0250e+00 -1.0005e+01 -4.9800e+00 -9.9800e+00 -1.4940e+01
 -9.9800e+00 -1.4980e+01 -1.9940e+01 -4.9710e+00 -9.9860e+00 -1.4966e+01
 -9.9800e+00 -1.4980e+01 -1.9940e+01 -1.4980e+01 -1.9980e+01 -2.4940e+01
 -9.9710e+00 -1.4986e+01 -1.9966e+01 -1.4940e+01 -1.9940e+01 -2.4900e+01
 -1.9940e+01 -2.4940e+01 -2.9900e+01]",0.3
cooperative,Stackelberg,5,2,20.78306007385254,17,-14.964481481466516,"[-5.0000e-03 -5.0250e+00 -1.0005e+01 -4.9800e+00 -9.9800e+00 -1.4940e+01
 -9.9800e+00 -1.4980e+01 -1.9940e+01 -4.9710e+00 -9.9860e+00 -1.4966e+01
 -9.9800e+00 -1.4980e+01 -1.9940e+01 -1.4980e+01 -1.9980e+01 -2.4940e+01
 -9.9710e+00 -1.4986e+01 -1.9966e+01 -1.4940e+01 -1.9940e+01 -2.4900e+01
 -1.9940e+01 -2.4940e+01 -2.9900e+01]",0.15
cooperative,Stackelberg,6,1,9.603699684143066,3,-17.957377777759824,"[-6.00000e-03 -6.03000e+00 -1.20060e+01 -5.97600e+00 -1.19760e+01
 -1.79280e+01 -1.19760e+01 -1.79760e+01 -2.39280e+01 -5.96520e+00
 -1.19832e+01 -1.79592e+01 -1.19760e+01 -1.79760e+01 -2.39280e+01
 -1.79760e+01 -2.39760e+01 -2.99280e+01 -1.19652e+01 -1.79832e+01
 -2.39592e+01 -1.79280e+01 -2.39280e+01 -2.98800e+01 -2.39280e+01
 -2.99280e+01 -3.58800e+01]",0.3
cooperative,Stackelberg,6,2,40.26905298233032,30,-17.957377777759824,"[-6.00000e-03 -6.03000e+00 -1.20060e+01 -5.97600e+00 -1.19760e+01
 -1.79280e+01 -1.19760e+01 -1.79760e+01 -2.39280e+01 -5.96520e+00
 -1.19832e+01 -1.79592e+01 -1.19760e+01 -1.79760e+01 -2.39280e+01
 -1.79760e+01 -2.39760e+01 -2.99280e+01 -1.19652e+01 -1.79832e+01
 -2.39592e+01 -1.79280e+01 -2.39280e+01 -2.98800e+01 -2.39280e+01
 -2.99280e+01 -3.58800e+01]",0.15
cooperative,Stackelberg,7,1,11.178460121154785,3,-20.95027407405313,"[-7.00000e-03 -7.03500e+00 -1.40070e+01 -6.97200e+00 -1.39720e+01
 -2.09160e+01 -1.39720e+01 -2.09720e+01 -2.79160e+01 -6.95940e+00
 -1.39804e+01 -2.09524e+01 -1.39720e+01 -2.09720e+01 -2.79160e+01
 -2.09720e+01 -2.79720e+01 -3.49160e+01 -1.39594e+01 -2.09804e+01
 -2.79524e+01 -2.09160e+01 -2.79160e+01 -3.48600e+01 -2.79160e+01
 -3.49160e+01 -4.18600e+01]",0.3
cooperative,Stackelberg,7,2,75.93193674087524,51,-20.95027407405313,"[-7.00000e-03 -7.03500e+00 -1.40070e+01 -6.97200e+00 -1.39720e+01
 -2.09160e+01 -1.39720e+01 -2.09720e+01 -2.79160e+01 -6.95940e+00
 -1.39804e+01 -2.09524e+01 -1.39720e+01 -2.09720e+01 -2.79160e+01
 -2.09720e+01 -2.79720e+01 -3.49160e+01 -1.39594e+01 -2.09804e+01
 -2.79524e+01 -2.09160e+01 -2.79160e+01 -3.48600e+01 -2.79160e+01
 -3.49160e+01 -4.18600e+01]",0.15
cooperative,Stackelberg,8,1,12.296984672546387,3,-23.943170370346426,"[-8.00000e-03 -8.04000e+00 -1.60080e+01 -7.96800e+00 -1.59680e+01
 -2.39040e+01 -1.59680e+01 -2.39680e+01 -3.19040e+01 -7.95360e+00
 -1.59776e+01 -2.39456e+01 -1.59680e+01 -2.39680e+01 -3.19040e+01
 -2.39680e+01 -3.19680e+01 -3.99040e+01 -1.59536e+01 -2.39776e+01
 -3.19456e+01 -2.39040e+01 -3.19040e+01 -3.98400e+01 -3.19040e+01
 -3.99040e+01 -4.78400e+01]",0.3
cooperative,Stackelberg,8,2,131.31049704551697,76,-23.943170370346426,"[-8.00000e-03 -8.04000e+00 -1.60080e+01 -7.96800e+00 -1.59680e+01
 -2.39040e+01 -1.59680e+01 -2.39680e+01 -3.19040e+01 -7.95360e+00
 -1.59776e+01 -2.39456e+01 -1.59680e+01 -2.39680e+01 -3.19040e+01
 -2.39680e+01 -3.19680e+01 -3.99040e+01 -1.59536e+01 -2.39776e+01
 -3.19456e+01 -2.39040e+01 -3.19040e+01 -3.98400e+01 -3.19040e+01
 -3.99040e+01 -4.78400e+01]",0.15
cooperative,Stackelberg,9,1,13.899807453155518,3,-26.93606666663973,"[-9.00000e-03 -9.04500e+00 -1.80090e+01 -8.96400e+00 -1.79640e+01
 -2.68920e+01 -1.79640e+01 -2.69640e+01 -3.58920e+01 -8.94780e+00
 -1.79748e+01 -2.69388e+01 -1.79640e+01 -2.69640e+01 -3.58920e+01
 -2.69640e+01 -3.59640e+01 -4.48920e+01 -1.79478e+01 -2.69748e+01
 -3.59388e+01 -2.68920e+01 -3.58920e+01 -4.48200e+01 -3.58920e+01
 -4.48920e+01 -5.38200e+01]",0.3
cooperative,Stackelberg,9,2,204.9652750492096,96,-26.93570833294469,"[-9.00000000e-03 -9.04038892e+00 -1.80039361e+01 -8.96400000e+00
 -1.79640000e+01 -2.68920000e+01 -1.79640000e+01 -2.69640000e+01
 -3.58920000e+01 -8.94780000e+00 -1.79748000e+01 -2.69388000e+01
 -1.79640000e+01 -2.69640000e+01 -3.58920000e+01 -2.69640000e+01
 -3.59640000e+01 -4.48920000e+01 -1.79478000e+01 -2.69748000e+01
 -3.59388000e+01 -2.68920000e+01 -3.58920000e+01 -4.48200000e+01
 -3.58920000e+01 -4.48920000e+01 -5.38200000e+01]",0.15
cooperative,Stackelberg,10,1,15.225136518478394,3,-29.928962962933035,"[-1.0000e-02 -1.0050e+01 -2.0010e+01 -9.9600e+00 -1.9960e+01 -2.9880e+01
 -1.9960e+01 -2.9960e+01 -3.9880e+01 -9.9420e+00 -1.9972e+01 -2.9932e+01
 -1.9960e+01 -2.9960e+01 -3.9880e+01 -2.9960e+01 -3.9960e+01 -4.9880e+01
 -1.9942e+01 -2.9972e+01 -3.9932e+01 -2.9880e+01 -3.9880e+01 -4.9800e+01
 -3.9880e+01 -4.9880e+01 -5.9800e+01]",0.3
cooperative,Stackelberg,10,2,294.8279116153717,111,-29.9283460927102,"[-1.00000000e-02 -1.00420436e+01 -2.00013009e+01 -9.96000000e+00
 -1.99600000e+01 -2.98800000e+01 -1.99600000e+01 -2.99600000e+01
 -3.98800000e+01 -9.94200000e+00 -1.99720000e+01 -2.99320000e+01
 -1.99600000e+01 -2.99600000e+01 -3.98800000e+01 -2.99600000e+01
 -3.99600000e+01 -4.98800000e+01 -1.99420000e+01 -2.99720000e+01
 -3.99320000e+01 -2.98800000e+01 -3.98800000e+01 -4.98000000e+01
 -3.98800000e+01 -4.98800000e+01 -5.98000000e+01]",0.15
cooperative,State of the Art,1,1,0.0009489059448242188,2,-2.9928962962933032,"[-1.0000e-03 -1.0050e+00 -2.0010e+00 -9.9600e-01 -1.9960e+00 -2.9880e+00
 -1.9960e+00 -2.9960e+00 -3.9880e+00 -9.9420e-01 -1.9972e+00 -2.9932e+00
 -1.9960e+00 -2.9960e+00 -3.9880e+00 -2.9960e+00 -3.9960e+00 -4.9880e+00
 -1.9942e+00 -2.9972e+00 -3.9932e+00 -2.9880e+00 -3.9880e+00 -4.9800e+00
 -3.9880e+00 -4.9880e+00 -5.9800e+00]",0.3
