gametype,SOTA,horizon,iterations,time,number_of_beliefs,leader values,follower values,density
cooperative,Stackelberg,1,1,0.3435037136077881,2,0.0,"[  0.   0.   1.   0.   0.   0.   0. -10.   0.   0.   1.   0.   0.   0.
   0. -10.   0.   0.   1.   0.   0.   0.   0. -10.   0.   0.   1. -10.
   0.   0.   0. -10.   1.   1.   2.   1.   1.   1.   1.  -9.   0.   0.
   1.   0.   0.   0.   0. -10.   0.   0.   1.   0.   0.   0.   0. -10.
 -10. -10.  -9. -10. -10. -10. -10. -20.   0.]",0.3
cooperative,Stackelberg,1,2,0.09692955017089844,2,0.0,"[  0.   0.   1.   0.   0.   0.   0. -10.   0.   0.   1.   0.   0.   0.
   0. -10.   0.   0.   1.   0.   0.   0.   0. -10.   0.   0.   1. -10.
   0.   0.   0. -10.   1.   1.   2.   1.   1.   1.   1.  -9.   0.   0.
   1.   0.   0.   0.   0. -10.   0.   0.   1.   0.   0.   0.   0. -10.
 -10. -10.  -9. -10. -10. -10. -10. -20.   0.]",0.15
cooperative,Stackelberg,2,1,7.836667776107788,5,0.0,"[  0.   0.   2.   0.   0.   0.   0. -10.   0.   0.   1.   0.   0.   0.
   0. -10.   0.   0.   2.   0.   0.   0.   0. -10.   0.   0.   2. -20.
   0.   0.   0. -10.   2.   1.   4.   2.   2.   1.   2.  -9.   0.   0.
   1.   0.   0.   0.   0. -10.   0.   0.   2.   0.   0.   0.   0. -10.
 -10. -10.  -9. -10. -10. -10. -10. -20.   0.]",0.3
cooperative,Stackelberg,2,2,7.63758659362793,6,0.0,"[  0.   0.   2.   0.   0.   0.   0. -10.   0.   0.   1.   0.   0.   0.
   0. -10.   0.   0.   2.   0.   0.   0.   0. -10.   0.   0.   2. -20.
   0.   0.   0. -10.   2.   1.   4.   2.   2.   1.   2.  -9.   0.   0.
   1.   0.   0.   0.   0. -10.   0.   0.   2.   0.   0.   0.   0. -10.
 -10. -10.  -9. -10. -10. -10. -10. -20.   0.]",0.15
cooperative,Stackelberg,3,1,102.07350826263428,18,0.0,"[  0.   0.   3.   0.   0.   0.   0. -10.   0.   0.   1.   0.   0.   0.
   0. -10.   0.   0.   3.   0.   0.   0.   0. -10.   0.   0.   3. -30.
   0.   0.   0. -10.   3.   1.   6.   3.   3.   1.   3.  -9.   0.   0.
   1.   0.   0.   0.   0. -10.   0.   0.   3.   0.   0.   0.   0. -10.
 -10. -10.  -9. -10. -10. -10. -10. -20.   0.]",0.3
cooperative,Stackelberg,3,2,122.51388335227966,22,0.0,"[  0.   0.   3.   0.   0.   0.   0. -10.   0.   0.   1.   0.   0.   0.
   0. -10.   0.   0.   3.   0.   0.   0.   0. -10.   0.   0.   3. -30.
   0.   0.   0. -10.   3.   1.   6.   3.   3.   1.   3.  -9.   0.   0.
   1.   0.   0.   0.   0. -10.   0.   0.   3.   0.   0.   0.   0. -10.
 -10. -10.  -9. -10. -10. -10. -10. -20.   0.]",0.15
cooperative,Stackelberg,4,1,566.386458158493,50,0.0,"[  0.   0.   4.   0.   0.   0.   0. -10.   0.   0.   1.   0.   0.   0.
   0. -10.   0.   0.   4.   0.   0.   0.   0. -10.   0.   0.   4. -40.
   0.   0.   0. -10.   4.   1.   8.   4.   4.   1.   4.  -9.   0.   0.
   1.   0.   0.   0.   0. -10.   0.   0.   4.   0.   0.   0.   0. -10.
 -10. -10.  -9. -10. -10. -10. -10. -20.   0.]",0.3
cooperative,Stackelberg,4,2,710.8765778541565,125,0.0,"[  0.   0.   4.   0.   0.   0.   0. -10.   0.   0.   1.   0.   0.   0.
   0. -10.   0.   0.   4.   0.   0.   0.   0. -10.   0.   0.   4. -40.
   0.   0.   0. -10.   4.   1.   8.   4.   4.   1.   4.  -9.   0.   0.
   1.   0.   0.   0.   0. -10.   0.   0.   4.   0.   0.   0.   0. -10.
 -10. -10.  -9. -10. -10. -10. -10. -20.   0.]",0.15
cooperative,Stackelberg,5,1,1946.880972623825,112,0.0,"[  0.   0.   5.   0.   0.   0.   0. -10.   0.   0.   1.   0.   0.   0.
   0. -10.   0.   0.   5.   0.   0.   0.   0. -10.   0.   0.   5. -50.
   0.   0.   0. -10.   5.   1.  10.   5.   5.   1.   5.  -9.   0.   0.
   1.   0.   0.   0.   0. -10.   0.   0.   5.   0.   0.   0.   0. -10.
 -10. -10.  -9. -10. -10. -10. -10. -20.   0.]",0.3
cooperative,Stackelberg,5,2,4311.395126819611,587,0.0,"[  0.   0.   5.   0.   0.   0.   0. -10.   0.   0.   1.   0.   0.   0.
   0. -10.   0.   0.   5.   0.   0.   0.   0. -10.   0.   0.   5. -50.
   0.   0.   0. -10.   5.   1.  10.   5.   5.   1.   5.  -9.   0.   0.
   1.   0.   0.   0.   0. -10.   0.   0.   5.   0.   0.   0.   0. -10.
 -10. -10.  -9. -10. -10. -10. -10. -20.   0.]",0.15
