horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
1,cooperative,Stackelberg,1,0.028783082962036133,2,0.0,[0.],0.2
1,cooperative,State of the Art,1,8.702278137207031e-05,2,0.0,[0.],0.2
1,cooperative,Stackelberg,2,0.011028766632080078,2,0.0,[0.],0.04
1,cooperative,State of the Art,2,8.821487426757812e-05,2,0.0,[0.],0.04
1,zerosum,Stackelberg,1,0.011288166046142578,2,-5.0,[5.],0.2
1,zerosum,State of the Art,1,0.018801212310791016,2,-5.0,[5.],0.2
1,zerosum,Stackelberg,2,0.010900020599365234,2,-5.0,[5.],0.04
1,zerosum,State of the Art,2,0.01896500587463379,2,-5.0,[5.],0.04
1,generalsum,Stackelberg,1,0.021424055099487305,2,-6.538461538461538,[-6.92307692],0.2
1,generalsum,State of the Art,1,0.012611627578735352,2,-6.538461538461538,[-6.92307692],0.2
1,generalsum,Stackelberg,2,0.013824939727783203,2,-6.538461538461538,[-6.92307692],0.04
1,generalsum,State of the Art,2,0.014545917510986328,2,-6.538461538461538,[-6.92307692],0.04
