gametype,SOTA,horizon,iterations,time,number_of_beliefs,leader values,follower values,density
cooperative,Stackelberg,1,1,0.20479106903076172,2,0.0,[0.],0.1
cooperative,Stackelberg,1,2,0.026329994201660156,2,0.0,[0.],0.02
cooperative,Stackelberg,2,1,0.07199573516845703,3,0.0,[0.],0.1
cooperative,Stackelberg,2,2,0.07299089431762695,3,0.0,[0.],0.02
cooperative,Stackelberg,3,1,0.11420035362243652,3,0.0,[0.],0.1
cooperative,Stackelberg,3,2,0.11681437492370605,3,0.0,[0.],0.02
cooperative,Stackelberg,4,1,0.16318488121032715,3,0.0,[0.],0.1
cooperative,Stackelberg,4,2,0.16235089302062988,3,0.0,[0.],0.02
cooperative,Stackelberg,5,1,0.21330595016479492,3,0.0,[0.],0.1
cooperative,Stackelberg,5,2,0.20911478996276855,3,0.0,[0.],0.02
cooperative,Stackelberg,6,1,0.26042866706848145,3,0.0,[0.],0.1
cooperative,Stackelberg,6,2,0.26352643966674805,3,0.0,[0.],0.02
cooperative,Stackelberg,7,1,0.3083481788635254,3,0.0,[0.],0.1
cooperative,Stackelberg,7,2,0.30539417266845703,3,0.0,[0.],0.02
cooperative,Stackelberg,8,1,0.36908936500549316,3,0.0,[0.],0.1
cooperative,Stackelberg,8,2,0.35480284690856934,3,0.0,[0.],0.02
cooperative,Stackelberg,9,1,0.404064416885376,3,0.0,[0.],0.1
cooperative,Stackelberg,9,2,0.4431767463684082,3,0.0,[0.],0.02
cooperative,Stackelberg,10,1,0.46149396896362305,3,0.0,[0.],0.1
cooperative,Stackelberg,10,2,0.45461273193359375,3,0.0,[0.],0.02
cooperative,Stackelberg,11,1,0.5097959041595459,3,0.0,[0.],0.1
cooperative,Stackelberg,11,2,0.5075194835662842,3,0.0,[0.],0.02
cooperative,Stackelberg,12,1,0.5493030548095703,3,0.0,[0.],0.1
cooperative,Stackelberg,12,2,0.5571432113647461,3,0.0,[0.],0.02
cooperative,Stackelberg,13,1,0.6062684059143066,3,0.0,[0.],0.1
cooperative,Stackelberg,13,2,0.6036651134490967,3,0.0,[0.],0.02
cooperative,Stackelberg,14,1,0.657707691192627,3,0.0,[0.],0.1
cooperative,Stackelberg,14,2,0.6589305400848389,3,0.0,[0.],0.02
cooperative,Stackelberg,15,1,0.7592706680297852,3,0.0,[0.],0.1
cooperative,Stackelberg,15,2,0.7107667922973633,3,0.0,[0.],0.02
cooperative,State of the Art,1,1,0.00016832351684570312,2,0.0,[0.],0.1
cooperative,State of the Art,1,2,0.0001590251922607422,2,0.0,[0.],0.02
cooperative,State of the Art,2,1,0.0005774497985839844,3,0.0,[0.],0.1
cooperative,State of the Art,2,2,0.0005216598510742188,3,0.0,[0.],0.02
cooperative,State of the Art,3,1,0.0010552406311035156,3,0.0,[0.],0.1
cooperative,State of the Art,3,2,0.0010442733764648438,3,0.0,[0.],0.02
cooperative,State of the Art,4,1,0.0014836788177490234,3,0.0,[0.],0.1
cooperative,State of the Art,4,2,0.0015079975128173828,3,0.0,[0.],0.02
cooperative,State of the Art,5,1,0.0019288063049316406,3,0.0,[0.],0.1
cooperative,State of the Art,5,2,0.001949310302734375,3,0.0,[0.],0.02
cooperative,State of the Art,6,1,0.002390146255493164,3,0.0,[0.],0.1
cooperative,State of the Art,6,2,0.0023937225341796875,3,0.0,[0.],0.02
cooperative,State of the Art,7,1,0.002849102020263672,3,0.0,[0.],0.1
cooperative,State of the Art,7,2,0.002799510955810547,3,0.0,[0.],0.02
cooperative,State of the Art,8,1,0.0032172203063964844,3,0.0,[0.],0.1
cooperative,State of the Art,8,2,0.0032117366790771484,3,0.0,[0.],0.02
cooperative,State of the Art,9,1,0.0037088394165039062,3,0.0,[0.],0.1
cooperative,State of the Art,9,2,0.003664731979370117,3,0.0,[0.],0.02
cooperative,State of the Art,10,1,0.0041425228118896484,3,0.0,[0.],0.1
cooperative,State of the Art,10,2,0.003931999206542969,3,0.0,[0.],0.02
cooperative,State of the Art,11,1,0.0045163631439208984,3,0.0,[0.],0.1
cooperative,State of the Art,11,2,0.004528999328613281,3,0.0,[0.],0.02
cooperative,State of the Art,12,1,0.004950523376464844,3,0.0,[0.],0.1
cooperative,State of the Art,12,2,0.0049479007720947266,3,0.0,[0.],0.02
cooperative,State of the Art,13,1,0.00534820556640625,3,0.0,[0.],0.1
cooperative,State of the Art,13,2,0.0054128170013427734,3,0.0,[0.],0.02
cooperative,State of the Art,14,1,0.005844831466674805,3,0.0,[0.],0.1
cooperative,State of the Art,14,2,0.005785703659057617,3,0.0,[0.],0.02
cooperative,State of the Art,15,1,0.006283283233642578,3,0.0,[0.],0.1
cooperative,State of the Art,15,2,0.0063250064849853516,3,0.0,[0.],0.02
zerosum,Stackelberg,1,1,0.04013323783874512,2,-5.0,[5.],0.1
zerosum,Stackelberg,1,2,0.027276039123535156,2,-5.0,[5.],0.02
zerosum,Stackelberg,2,1,0.07517790794372559,3,-10.0,[10.],0.1
zerosum,Stackelberg,2,2,0.07365584373474121,3,-10.0,[10.],0.02
zerosum,Stackelberg,3,1,0.1299748420715332,3,-15.0,[15.],0.1
zerosum,Stackelberg,3,2,0.1210794448852539,3,-15.0,[15.],0.02
zerosum,Stackelberg,4,1,0.17284846305847168,3,-20.0,[20.],0.1
zerosum,Stackelberg,4,2,0.17676949501037598,3,-20.0,[20.],0.02
zerosum,Stackelberg,5,1,0.22312116622924805,3,-25.0,[25.],0.1
