horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
1,cooperative,Stackelberg,1,0.03257322311401367,9,5.0,[ 5.   0.5  0.5 -3. ],0.2
1,cooperative,State of the Art,1,0.00021195411682128906,9,5.0,[ 5.   0.5  0.5 -3. ],0.2
1,cooperative,Stackelberg,2,0.017050981521606445,9,5.0,[ 5.   0.5  0.5 -3. ],0.04
1,cooperative,State of the Art,2,0.00020074844360351562,9,5.0,[ 5.   0.5  0.5 -3. ],0.04
1,zerosum,Stackelberg,1,0.019900083541870117,9,2.0,[-2.    1.6   0.4   3.88],0.2
1,zerosum,State of the Art,1,0.020370960235595703,9,2.0,[-2.    1.6   0.4   3.88],0.2
1,zerosum,Stackelberg,2,0.016874074935913086,9,2.0,[-2.    1.6   0.4   3.88],0.04
1,zerosum,State of the Art,2,0.023759841918945312,9,2.0,[-2.    1.6   0.4   3.88],0.04
1,generalsum,Stackelberg,1,0.019208192825317383,9,2.6666666666666665,[-0.33333333  1.          3.33333333  3.        ],0.2
1,generalsum,State of the Art,1,0.018162012100219727,9,2.6666666666666665,[-0.33333333  1.          3.33333333  3.        ],0.2
1,generalsum,Stackelberg,2,0.01760721206665039,9,2.6666666666666665,[-0.33333333  1.          3.33333333  3.        ],0.04
1,generalsum,State of the Art,2,0.018400907516479492,9,2.6666666666666665,[-0.33333333  1.          3.33333333  3.        ],0.04
