horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
1,cooperative,State of the Art,2,0.00026702880859375,20,-1.0,[-1. -1. -1. -1.],0.2
1,cooperative,Stackelberg,2,0.025477886199951172,20,-1.0,[-1. -1. -1. -1.],0.2
1,cooperative,State of the Art,3,0.00021767616271972656,20,-1.0,[-1. -1. -1. -1.],0.2
1,cooperative,Stackelberg,3,0.02012324333190918,20,-1.0,[-1. -1. -1. -1.],0.2
1,cooperative,State of the Art,4,0.0002238750457763672,20,-1.0,[-1. -1. -1. -1.],0.2
1,cooperative,Stackelberg,4,0.017574071884155273,20,-1.0,[-1. -1. -1. -1.],0.2
1,zerosum,State of the Art,2,0.022090911865234375,20,-50.0,[ 1.  1.  1. 50.],0.2
1,zerosum,Stackelberg,2,0.015491008758544922,20,-50.0,[50. 50. 50. 50.],0.2
1,zerosum,State of the Art,3,0.021786928176879883,20,-50.0,[ 1.  1.  1. 50.],0.2
1,zerosum,Stackelberg,3,0.016047239303588867,20,-50.0,[50. 50. 50. 50.],0.2
1,zerosum,State of the Art,4,0.019781112670898438,20,-50.0,[ 1.  1.  1. 50.],0.2
1,zerosum,Stackelberg,4,0.017693042755126953,20,-50.0,[50. 50. 50. 50.],0.2
1,generalsum,State of the Art,2,0.01869988441467285,20,-1.0,[ 44. -19.  36.  44.],0.2
1,generalsum,Stackelberg,2,0.020874977111816406,20,-1.0,[ 44. -19.  36.  44.],0.2
1,generalsum,State of the Art,3,0.017986774444580078,20,-1.0,[ 44. -19.  36.  44.],0.2
1,generalsum,Stackelberg,3,0.01854109764099121,20,-1.0,[ 44. -19.  36.  44.],0.2
1,generalsum,State of the Art,4,0.01763772964477539,20,-1.0,[ 44. -19.  36.  44.],0.2
1,generalsum,Stackelberg,4,0.017568111419677734,20,-1.0,[ 44. -19.  36.  44.],0.2
2,cooperative,State of the Art,2,0.00251007080078125,20,-2.0,[-2. -2. -2. -2.],0.2
2,cooperative,Stackelberg,2,0.10770010948181152,20,-2.0,[-2. -2. -2. -2.],0.2
2,cooperative,State of the Art,3,0.0025169849395751953,20,-2.0,[-2. -2. -2. -2.],0.2
2,cooperative,Stackelberg,3,0.11812806129455566,20,-2.0,[-2. -2. -2. -2.],0.2
2,cooperative,State of the Art,4,0.0023031234741210938,20,-2.0,[-2. -2. -2. -2.],0.2
2,cooperative,Stackelberg,4,0.13220572471618652,20,-2.0,[-2. -2. -2. -2.],0.2
2,zerosum,State of the Art,2,0.10761499404907227,20,-100.0,[  2.  51.   2. 100.],0.2
2,zerosum,Stackelberg,2,0.09969401359558105,20,-100.0,[100. 100. 100. 100.],0.2
2,zerosum,State of the Art,3,0.11146926879882812,20,-100.0,[  2.  51.   2. 100.],0.2
2,zerosum,Stackelberg,3,0.17581582069396973,20,-100.0,[100. 100. 100. 100.],0.2
2,zerosum,State of the Art,4,0.10404396057128906,20,-100.0,[  2.  51.   2. 100.],0.2
