gametype,SOTA,horizon,iterations,time,number_of_beliefs,leader values,follower values,density
cooperative,Stackelberg,1,1,0.10390162467956543,2,0.0,"[ 0. -1. -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1.
 -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3.
 -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3. -1. -2.
 -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.]",0.2
cooperative,Stackelberg,1,2,0.055413007736206055,2,0.0,"[ 0. -1. -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1.
 -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3.
 -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3. -1. -2.
 -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.]",0.1
cooperative,Stackelberg,2,1,15.534428596496582,3,0.0,"[ 0. -1. -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1.
 -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3.
 -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3. -1. -2.
 -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.]",0.2
cooperative,Stackelberg,2,2,15.320581912994385,3,0.0,"[ 0. -1. -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1.
 -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3.
 -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3. -1. -2.
 -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.]",0.1
cooperative,Stackelberg,3,1,78.93007683753967,11,0.0,"[ 0. -1. -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1.
 -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3.
 -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3. -1. -2.
 -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.]",0.2
cooperative,Stackelberg,3,2,82.67603182792664,11,0.0,"[ 0. -1. -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1.
 -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3.
 -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3. -1. -2.
 -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.]",0.1
cooperative,Stackelberg,4,1,424.4121768474579,18,0.0,"[ 0. -1. -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1.
 -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3.
 -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3. -1. -2.
 -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.]",0.2
cooperative,Stackelberg,4,2,407.87766313552856,18,0.0,"[ 0. -1. -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1.
 -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3.
 -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3. -1. -2.
 -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.]",0.1
cooperative,Stackelberg,5,1,900.9296472072601,18,0.0,"[ 0. -1. -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1.
 -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3.
 -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3. -1. -2.
 -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.]",0.2
cooperative,Stackelberg,5,2,901.9708909988403,18,0.0,"[ 0. -1. -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1.
 -2. -3. -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3.
 -1. -2. -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.  0. -1. -2. -3. -1. -2.
 -3. -4. -2. -3. -4. -5. -3. -4. -5. -6.]",0.1
