,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
2generals(1),0.00018930435180664062,-1.0,2,0.36786866188049316,-1.0,2
2generals(2),0.001653432846069336,0.06625000000000014,2,1.0842301845550537,0.06625000000000014,2
2generals(3),0.005352973937988281,-0.3824718749999998,2,2.504124402999878,-0.3824718749999998,2
2generals(4),0.008312463760375977,0.3310497734375004,2,2.1569664478302,0.3310497734375004,2
2generals(5),0.011144161224365234,0.15029280964843839,2,2.2389814853668213,0.15029280964843839,2
2generals(6),0.014083147048950195,0.6747456101509282,2,1.7935562133789062,0.6747456101509282,2
2generals(7),0.0166933536529541,0.6877196806134007,2,1.548654317855835,0.6877196806134007,2
2generals(8),0.019610166549682617,1.0818100372053419,2,2.171579122543335,1.0818100372053419,2
2generals(9),0.022470951080322266,1.195267132755303,2,2.6806633472442627,1.195267132755303,2
2generals(10),0.025430679321289062,1.5163653259154861,2,2.4649507999420166,1.5163653259154861,2
