,State of the Art,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,number_of_beliefs,time,leader value,iteration,number_of_beliefs
2generals(1),0.00011205673217773438,-1.0,2,4,0.029430866241455078,-1.0,2,4
2generals(2),0.0005900859832763672,0.06625000000000014,2,6,0.06855297088623047,0.06625000000000014,2,6
2generals(3),0.001882791519165039,-0.3824718749999998,2,6,0.1562798023223877,-0.3824718749999998,2,6
2generals(4),0.003401041030883789,-0.46301272656250014,2,6,0.20094895362854004,-0.46301272656250014,2,6
2generals(5),0.0045931339263916016,-1.006068909101563,2,5,0.23345708847045898,-1.006068909101563,2,5
2generals(6),0.006784915924072266,-1.527936596880324,2,6,0.3725719451904297,-1.527936596880324,2,6
2generals(7),0.007366180419921875,-2.2240928843035945,2,6,0.4113619327545166,-2.2240928843035945,2,6
2generals(8),0.00845789909362793,-2.9585409272983703,2,6,0.41049981117248535,-2.9585409272983703,2,6
2generals(9),0.01004791259765625,-3.770881113358566,2,6,0.533315896987915,-3.770881113358566,2,6
2generals(10),0.012371063232421875,-4.61877454134622,2,6,0.5662870407104492,-4.61877454134622,2,6
