,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
alignment_2x4(1),0.0008008480072021484,-1.0,2,0.11086273193359375,-1.0,2
alignment_2x4(2),0.02664923667907715,10.625,2,1.2628905773162842,10.625,2
alignment_2x4(3),0.20785188674926758,9.625,2,4.544405221939087,9.625,2
alignment_2x4(4),0.7303154468536377,21.25,2,12.731380701065063,21.25,2
alignment_2x4(5),2.664443254470825,20.25,2,30.57612919807434,20.25,2
alignment_2x4(6),7.75486159324646,31.875,2,61.360061168670654,31.875,2
alignment_2x4(7),15.717636346817017,30.875,2,101.16175198554993,30.87500437499999,2
alignment_2x4(8),23.87605881690979,42.5,2,138.49687266349792,42.50000437499999,2
alignment_2x4(9),31.690285682678223,41.5,2,185.67523622512817,41.50000437499999,2
alignment_2x4(10),38.992082834243774,53.125,2,220.2493839263916,53.12500437499999,2
