,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
alignment_2x4(1),0.0008769035339355469,-1.0,2,1.2262639999389648,-1.0,2
alignment_2x4(2),0.02364635467529297,10.625,2,0.9788336753845215,10.625,2
alignment_2x4(3),0.12403678894042969,9.625,2,3.1652398109436035,9.625,2
alignment_2x4(4),0.2354872226715088,21.25,2,4.172940731048584,21.25,2
alignment_2x4(5),0.40726423263549805,20.25,2,7.084453105926514,20.25,2
alignment_2x4(6),0.5056607723236084,31.875,2,9.155762195587158,31.875,2
alignment_2x4(7),0.6993753910064697,30.875,2,11.425242900848389,30.875,2
alignment_2x4(8),0.8526346683502197,42.5,2,12.870065689086914,42.5,2
alignment_2x4(9),1.0032854080200195,41.5,2,15.26350450515747,41.5,2
alignment_2x4(10),1.061784029006958,53.125,2,23.66099739074707,53.125,2
