,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
broadcastChannel(1),0.0002434253692626953,1.0000000000000002,2,0.030647993087768555,1.0000000000000002,2
broadcastChannel(2),0.0034415721893310547,1.9999999999999998,2,0.18652820587158203,1.9999999999999998,2
broadcastChannel(3),0.015716552734375,3.0,2,0.45581984519958496,3.0,2
broadcastChannel(4),0.03007793426513672,4.000000000000001,2,1.0498850345611572,4.000000000000001,2
broadcastChannel(5),0.05125904083251953,5.000000000000002,2,1.4949531555175781,5.000000000000002,2
broadcastChannel(6),0.07845926284790039,6.000000000000002,2,2.203317165374756,6.000000000000001,2
broadcastChannel(7),0.11240816116333008,7.000000000000002,2,3.1514906883239746,7.000000000000002,2
broadcastChannel(8),0.15328311920166016,8.000000000000002,2,3.739987373352051,8.000000000000002,2
broadcastChannel(9),0.2036890983581543,9.000000000000002,2,4.964262247085571,9.000000000000002,2
broadcastChannel(10),0.2544898986816406,10.000000000000004,2,7.634499788284302,10.000000000000004,2
