,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
dectiger(1),0.00012087821960449219,9.0,2,0.03517007827758789,9.0,2
dectiger(2),0.002331972122192383,18.0,2,0.06294012069702148,18.0,2
dectiger(3),0.007278919219970703,27.0,2,0.17000198364257812,27.0,2
dectiger(4),0.015808820724487305,36.0,2,0.29291796684265137,36.0,2
dectiger(5),0.027623891830444336,45.0,2,0.45639991760253906,45.0,2
dectiger(6),0.03759193420410156,54.0,2,0.5661821365356445,54.0,2
dectiger(7),0.04806208610534668,63.0,2,0.7513351440429688,63.0,2
dectiger(8),0.05939078330993652,72.0,2,0.8321950435638428,72.0,2
dectiger(9),0.06811904907226562,81.0,2,1.0129132270812988,81.0,2
dectiger(10),0.07862615585327148,90.0,2,1.0934720039367676,90.0,2
