,State of the Art,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,number_of_beliefs,time,leader value,iteration,number_of_beliefs
dectiger(1),0.0001480579376220703,9.0,3,5,0.025642871856689453,9.0,3,5
dectiger(2),0.0009288787841796875,18.0,3,4,0.05800890922546387,18.0,3,4
dectiger(3),0.002953767776489258,27.0,3,4,0.10425281524658203,27.0,3,4
dectiger(4),0.005010843276977539,36.0,3,5,0.15690112113952637,36.0,3,5
dectiger(5),0.006910085678100586,45.0,3,4,0.20446324348449707,45.0,3,4
dectiger(6),0.00886392593383789,54.0,3,5,0.26523494720458984,54.0,3,5
dectiger(7),0.010785102844238281,63.0,3,5,0.3931300640106201,63.0,3,5
dectiger(8),0.012732744216918945,72.0,3,5,0.4579949378967285,72.0,3,5
dectiger(9),0.01519012451171875,81.0,3,4,0.4359872341156006,81.0,3,4
dectiger(10),0.01667308807373047,90.0,3,4,0.5559110641479492,90.0,3,4
