,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
longFireFight(1),0.0008702278137207031,-2.9928962962933032,2,0.5766594409942627,-2.9928962962933032,2
longFireFight(2),0.27669262886047363,-5.985792592586607,2,1.6960375308990479,-5.985792592586607,2
longFireFight(3),0.8101325035095215,-8.97868888887991,2,3.7407994270324707,-8.97868888887991,2
longFireFight(4),1.357466220855713,-11.971585185173215,2,5.926403999328613,-11.971585185173215,2
longFireFight(5),1.8668060302734375,-14.964481481466516,2,8.144030094146729,-14.964481481466516,2
longFireFight(6),2.3911590576171875,-17.957377777759824,2,9.594476461410522,-17.957377777759824,2
longFireFight(7),2.9580845832824707,-20.95027407405313,2,11.712470293045044,-20.95027407405313,2
longFireFight(8),3.4737181663513184,-23.943170370346426,2,12.727238893508911,-23.943170370346426,2
longFireFight(9),4.091161012649536,-26.93606666663973,2,14.839127779006958,-26.93606666663973,2
longFireFight(10),4.541177749633789,-29.928962962933035,2,15.938835382461548,-29.928962962933035,2
