,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
longFireFight(1),0.0009489059448242188,-2.9928962962933032,2,1.2361741065979004,-2.9928962962933032,2
longFireFight(2),0.28011059761047363,-5.985792592586607,2,1.738222360610962,-5.985792592586607,2
longFireFight(3),0.8367862701416016,-8.97868888887991,2,3.7593300342559814,-8.97868888887991,2
longFireFight(4),1.417858362197876,-11.971585185173215,2,6.292577028274536,-11.971585185173215,2
longFireFight(5),1.9611647129058838,-14.964481481466516,2,7.909147024154663,-14.964481481466516,2
longFireFight(6),2.5088083744049072,-17.957377777759824,2,9.603699684143066,-17.957377777759824,2
longFireFight(7),3.0960519313812256,-20.95027407405313,2,11.178460121154785,-20.95027407405313,2
longFireFight(8),3.625854253768921,-23.943170370346426,2,12.296984672546387,-23.943170370346426,2
longFireFight(9),4.139629602432251,-26.93606666663973,2,13.899807453155518,-26.93606666663973,2
longFireFight(10),4.745055437088013,-29.928962962933035,2,15.225136518478394,-29.928962962933035,2
