,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
prisoners(1),0.00013136863708496094,0.0,2,0.026212215423583984,0.0,2
prisoners(2),0.0004990100860595703,0.0,2,0.08487510681152344,0.0,2
prisoners(3),0.000988006591796875,0.0,2,0.1273646354675293,0.0,2
prisoners(4),0.001428842544555664,0.0,2,0.18319201469421387,0.0,2
prisoners(5),0.0019066333770751953,0.0,2,0.2311551570892334,0.0,2
prisoners(6),0.0023314952850341797,0.0,2,0.3053319454193115,0.0,2
prisoners(7),0.0027914047241210938,0.0,2,0.36621880531311035,0.0,2
prisoners(8),0.0032258033752441406,0.0,2,0.4322800636291504,0.0,2
prisoners(9),0.0036263465881347656,0.0,2,0.4939906597137451,0.0,2
prisoners(10),0.0037720203399658203,0.0,2,0.5030429363250732,0.0,2
