,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
recycling(1),0.00034165382385253906,5.0,2,0.11140131950378418,5.0,2
recycling(2),0.004125833511352539,9.0,2,1.0118699073791504,9.0,2
recycling(3),0.08094167709350586,13.0,2,4.370523452758789,13.0,2
recycling(4),0.29964661598205566,17.0,2,7.919641494750977,17.0,2
recycling(5),0.45083189010620117,21.0,2,12.454177379608154,21.0,2
recycling(6),0.6097240447998047,25.0,2,17.603389501571655,25.0,2
recycling(7),0.7492384910583496,29.0,2,18.336811304092407,29.0,2
recycling(8),0.8944880962371826,33.0,2,20.91029191017151,33.0,2
recycling(9),1.056490182876587,37.0,2,25.529051780700684,37.0,2
recycling(10),1.2045643329620361,40.99999999999999,2,30.145344257354736,40.99999999999999,2
