,State of the Art,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,number_of_beliefs,time,leader value,iteration,number_of_beliefs
recycling(1),0.00021076202392578125,5.0,3,9,0.026595115661621094,5.0,3,9
recycling(2),0.004238128662109375,6.7,3,23,0.18159198760986328,6.7,3,23
recycling(3),0.0321049690246582,10.325,3,26,0.6173980236053467,10.325,3,26
recycling(4),0.08373618125915527,12.5061,3,26,1.094224214553833,12.5061,3,26
recycling(5),0.13764309883117676,15.630499999999998,3,26,1.5713920593261719,15.630499999999998,3,26
recycling(6),0.19142675399780273,18.137625,3,26,2.3097329139709473,18.137625,3,26
recycling(7),0.2476651668548584,20.989305539999997,3,26,2.583418130874634,20.989305539999997,3,26
recycling(8),0.2964358329772949,23.6365821646,3,26,3.4506919384002686,23.6365821646,3,26
recycling(9),0.3557870388031006,26.404514153153997,3,26,4.076042890548706,26.404514153153997,3,26
recycling(10),0.45627498626708984,29.096347330131458,3,26,4.9653401374816895,29.096347330131458,3,26
