,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
recycling(1),0.000377655029296875,5.0,3,1.278393030166626,5.0,3
recycling(2),0.0039691925048828125,9.0,3,1.8542640209197998,9.0,3
recycling(3),0.05680394172668457,13.0,3,3.139225959777832,13.0,3
recycling(4),0.14249420166015625,17.0,3,6.365633249282837,17.0,3
recycling(5),0.224395751953125,21.0,3,9.956839323043823,21.0,3
recycling(6),0.28826189041137695,25.0,3,12.687052249908447,25.0,3
recycling(7),0.362567663192749,29.0,3,17.767842531204224,29.0,3
recycling(8),0.4333810806274414,33.0,3,23.054543495178223,33.0,3
recycling(9),0.5073647499084473,37.0,3,21.964282751083374,37.0,3
recycling(10),0.5815603733062744,40.99999999999999,3,27.506160020828247,40.99999999999999,3
