,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
relay4(1),0.0003349781036376953,-1.0,2,0.2605128288269043,-1.0,2
relay4(2),0.004868984222412109,-2.0,2,1.3297019004821777,-2.0,2
relay4(3),0.02561020851135254,-3.0,2,3.8488192558288574,-3.0,2
relay4(4),0.14626383781433105,-4.0,2,6.472207546234131,-4.0,2
relay4(5),0.5198326110839844,-5.0,2,36.71050572395325,-5.0,2
relay4(6),2.402400493621826,-6.0,2,36.596073150634766,-6.0,2
relay4(7),7.498610258102417,-7.0,2,73.46638870239258,-7.0,2
relay4(8),16.503079652786255,-8.0,2,127.64269471168518,-8.0,2
relay4(9),26.688749313354492,-9.0,2,168.5674810409546,-9.000000000000002,2
relay4(10),37.57874321937561,-10.0,2,214.5156819820404,-10.000000000000002,2
