,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
wirelessDelay(1),0.0021843910217285156,0.0,2,0.10390162467956543,0.0,2
wirelessDelay(2),7.830740451812744,0.0,2,15.534428596496582,0.0,2
wirelessDelay(3),38.38260579109192,0.0,2,78.93007683753967,0.0,2
wirelessDelay(4),201.4778769016266,0.0,2,424.4121768474579,0.0,2
wirelessDelay(5),446.2238578796387,0.0,2,900.9296472072601,0.0,2
wirelessDelay(6),692.8933231830597,0.0,2,1398.8219275474548,0.0,2
wirelessDelay(7),939.4369373321533,0.0,2,1914.146594285965,0.0,2
wirelessDelay(8),1181.808997631073,0.0,2,2426.3015110492706,0.0,2
wirelessDelay(9),1422.178855419159,0.0,2,2939.4462888240814,0.0,2
wirelessDelay(10),1667.4974975585938,0.0,2,3446.2742562294006,0.0,2
