,State of the Art,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,number_of_beliefs,time,leader value,iteration,number_of_beliefs
dectiger(1),0.01192021369934082,30.0,2,4,0.015604972839355469,30.0,2,4
dectiger(2),0.06653094291687012,60.0,2,4,0.06960892677307129,60.0,2,4
dectiger(3),0.13842391967773438,90.0,2,6,0.1380000114440918,90.0,2,6
dectiger(4),0.23140811920166016,120.0,2,4,0.21940374374389648,120.0,2,4
dectiger(5),0.2769150733947754,150.0,2,5,0.2735762596130371,150.0,2,5
dectiger(6),0.3435821533203125,180.0,2,4,0.34647178649902344,180.0,2,4
dectiger(7),0.5357182025909424,210.0,2,5,0.5295999050140381,210.0,2,5
dectiger(8),0.633965015411377,240.0,2,5,0.48746800422668457,240.0,2,5
dectiger(9),0.7297930717468262,270.0,2,4,0.5916552543640137,270.0,2,4
dectiger(10),0.7398600578308105,300.0,2,4,0.6484549045562744,300.0,2,4
