,State of the Art,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,number_of_beliefs,time,leader value,iteration,number_of_beliefs
recycling(1),0.018238067626953125,2.6666666666666665,3,9,0.01594710350036621,2.6666666666666665,3,9
recycling(2),0.19560909271240234,3.4969956280373715,3,23,0.18041014671325684,3.4969956280373715,3,23
recycling(3),0.658776044845581,5.962843364841333,3,26,0.6720283031463623,5.962843364841333,3,26
recycling(4),0.9573180675506592,5.294313108459792,3,26,1.1447062492370605,5.294313108459792,3,26
recycling(5),1.947192907333374,8.266975128468664,3,26,1.758131980895996,8.266975128468664,3,26
recycling(6),1.9952139854431152,8.352883547184623,3,26,2.319971799850464,8.352883547184623,3,26
recycling(7),3.1535253524780273,8.257454295007408,3,26,3.6084682941436768,8.257454295007408,3,26
recycling(8),3.290309190750122,7.6654256192584835,3,26,3.261096954345703,7.6654256192584835,3,26
recycling(9),4.236454963684082,9.183608967930205,3,26,4.440871000289917,9.183608967930205,3,26
recycling(10),5.236062049865723,11.13094352463854,3,26,5.084646224975586,11.13094352463854,3,26
