,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
2generals(1),0.13702130317687988,-5.5,2,1.0083446502685547,-5.5,2
2generals(2),2.1019551753997803,-11.08804347826087,2,2.6663782596588135,-11.08804347826087,2
2generals(3),2.9934017658233643,-16.546883152173912,2,3.269890308380127,-16.546883152173912,2
2generals(4),3.90116024017334,-22.10422354885397,2,3.3893189430236816,-22.10422354885397,2
2generals(5),4.6692304611206055,-27.554707638949523,2,5.890431642532349,-27.625193615042868,2
2generals(6),5.585017204284668,-33.10900091171317,2,5.874495267868042,-33.133712136394934,2
2generals(7),6.498137950897217,-38.5586152167097,2,6.599838495254517,-38.6383324878839,2
2generals(8),8.023801803588867,-49.56210275643999,2,8.949965238571167,-49.62049205128562,2
2generals(9),9.063100814819336,-44.112581526899845,2,6.833084583282471,-44.072577026122225,2
2generals(10),10.91553807258606,-55.11603413687101,2,10.416371822357178,-55.13860524109347,2
