,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
2generals(1),0.07688140869140625,-5.5,5,0.06344294548034668,-5.5,5
2generals(2),0.7661402225494385,-11.08804347826087,5,0.5714802742004395,-11.08804347826087,5
2generals(3),0.8901722431182861,-16.546883152173912,5,1.1359760761260986,-16.546883152173912,5
2generals(4),1.4582977294921875,-27.554707638949523,5,0.9999618530273438,-27.625193615042868,5
2generals(5),1.519768476486206,-22.10422354885397,5,1.008941411972046,-22.10422354885397,5
2generals(6),1.823500394821167,-33.10900091171317,5,1.4043738842010498,-33.133712136394934,5
2generals(7),2.2816684246063232,-38.5586152167097,5,2.241464138031006,-38.6383324878839,5
2generals(8),2.5903286933898926,-44.112581526899845,5,2.5308241844177246,-44.072577026122225,5
2generals(9),2.9287312030792236,-49.56210275643999,5,2.3107221126556396,-49.62049205128562,5
2generals(10),3.3287580013275146,-55.11603413687101,5,3.5526480674743652,-55.13860524109347,5
2generals(11),4.043661832809448,-60.565545421586314,5,3.365002393722534,-60.57678048136083,5
2generals(12),4.258645534515381,-66.11947306954073,5,4.9356749057769775,-66.12619131037705,5
2generals(13),4.317894697189331,-71.5689832915941,5,6.012876510620117,-71.64475824174203,5
2generals(14),4.714325428009033,-77.12291054071383,5,5.8911638259887695,-77.15253542855753,5
2generals(15),5.095368146896362,-82.57242064921614,5,5.3612682819366455,-82.65692789957076,5
