,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
alignment_2x4(1),0.31609439849853516,-38.125,2,0.2889258861541748,-38.125,2
alignment_2x4(2),2.7399611473083496,-85.36378252448435,2,2.2045977115631104,-71.78083883465746,2
alignment_2x4(3),7.532217502593994,-73.6666623648276,2,8.004120826721191,-81.49905694931905,2
alignment_2x4(4),23.42277979850769,-55.187499078177346,2,23.581403732299805,-75.8950994159629,2
alignment_2x4(5),56.37476682662964,-91.92018639505639,2,56.28931427001953,-127.37664075503204,2
alignment_2x4(6),113.23479533195496,-104.04256223211196,2,113.62875628471375,-101.85217680596128,2
alignment_2x4(7),177.2900836467743,-132.87866262404742,2,181.3783996105194,-85.71801871981582,2
alignment_2x4(8),191.3663375377655,-176.6594188543445,2,257.1220579147339,-85.42106609185116,2
alignment_2x4(9),194.04650211334229,-157.90992279340134,2,324.15081810951233,-102.43600098912107,2
alignment_2x4(10),315.88489532470703,-141.64801100181262,2,385.67625427246094,-92.52495061259492,2
