,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
alignment_2x4(1),0.7686996459960938,-38.125,2,0.20933771133422852,-38.125,2
alignment_2x4(2),1.353557825088501,-51.49999999999999,2,1.032684564590454,-76.25,2
alignment_2x4(3),3.036189079284668,-89.625,2,2.849700450897217,-126.75,2
alignment_2x4(4),4.839973211288452,-133.28754266211604,2,4.947991371154785,-115.25,2
alignment_2x4(5),7.788660049438477,-171.41254266211604,2,7.67217493057251,-153.375,2
alignment_2x4(6),9.670541048049927,-175.66680887372013,2,8.553008556365967,-159.125,2
alignment_2x4(7),12.308678388595581,-198.23169564814486,2,12.939417362213135,-197.25,2
alignment_2x4(8),14.092421531677246,-286.62137619966506,2,19.69977855682373,-279.25,2
alignment_2x4(9),14.614304542541504,-236.3566956481449,2,17.73419737815857,-203.0,2
alignment_2x4(10),17.558062076568604,-248.49637619966506,2,19.421008825302124,-241.125,2
