,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
broadcastChannel(1),0.06804537773132324,1.0000000000000002,2,0.1441938877105713,1.0000000000000002,2
broadcastChannel(2),0.34415626525878906,2.0,2,0.26904940605163574,2.0,2
broadcastChannel(3),0.5065088272094727,2.0,2,1.022390365600586,2.0,2
broadcastChannel(4),0.9222784042358398,3.0000000000000018,2,1.0868744850158691,3.0000000000000018,2
broadcastChannel(5),1.3893401622772217,3.000000000000003,2,1.490046739578247,3.000000000000003,2
broadcastChannel(6),2.3705246448516846,4.000000000000003,2,2.2420270442962646,4.000000000000003,2
broadcastChannel(7),3.0500261783599854,4.0000000000000036,2,3.1767189502716064,4.0000000000000036,2
broadcastChannel(8),3.815659523010254,5.0000000000000036,2,4.106541395187378,5.0000000000000036,2
broadcastChannel(9),5.115318536758423,6.000000000000004,2,5.851962089538574,6.000000000000004,2
broadcastChannel(10),6.108771324157715,6.000000000000007,2,6.916689157485962,6.000000000000007,2
