,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
dectiger(1),0.014500141143798828,3.5,2,0.01727008819580078,3.5,2
dectiger(2),0.09004092216491699,10.486484375,2,0.06230497360229492,10.486484375,2
dectiger(3),0.15842103958129883,14.710069396972656,2,0.17974090576171875,14.860659765625,2
dectiger(4),0.3037068843841553,21.05480025515366,2,0.27735018730163574,21.270414724609378,2
dectiger(5),0.4139590263366699,25.223234320252402,2,0.40415310859680176,25.456872624133304,2
dectiger(6),0.5368390083312988,31.60668675635798,2,0.6338627338409424,32.006477113987984,2
dectiger(7),0.7090408802032471,35.784821982508454,2,0.7002420425415039,36.22132141786935,2
dectiger(8),0.8753781318664551,42.16080138422639,2,0.88568115234375,42.749778036477736,2
dectiger(9),0.9952378273010254,46.337564490875636,2,0.9915158748626709,46.96032978377517,2
dectiger(10),1.13285231590271,52.71457337544058,2,1.1452038288116455,53.49198435703858,2
