,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
longFireFight(1),0.11258292198181152,-2.998748148145149,2,0.17845392227172852,-2.998748148145149,2
longFireFight(2),0.6539802551269531,-5.9974962962903,2,1.3313329219818115,-5.998014814808818,2
longFireFight(3),1.6227598190307617,-8.99624444443545,2,2.916905164718628,-8.99739407406508,2
longFireFight(4),2.1867835521698,-11.9949925925806,2,4.475097179412842,-11.996234666654674,2
longFireFight(5),3.2342655658721924,-14.993740740725746,2,6.197856664657593,-14.994951341022041,2
longFireFight(6),3.9605116844177246,-17.9924888888709,2,7.469656944274902,-17.993689417558304,2
longFireFight(7),5.009666204452515,-20.991237037016045,2,8.840253829956055,-20.99203434278861,2
longFireFight(8),5.603859186172485,-23.989985185161192,2,10.758987665176392,-23.991033584859338,2
longFireFight(9),6.424410581588745,-26.98873333330634,2,12.56230354309082,-26.98978143578679,2
longFireFight(10),9.462624311447144,-29.98748148145149,2,13.94534969329834,-29.988529488822273,2
