,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
longFireFight(1),0.07877683639526367,-2.998748148145149,2,0.0856931209564209,-2.998748148145149,2
longFireFight(2),0.7920281887054443,-5.9974962962903,2,1.186570405960083,-5.998014814808818,2
longFireFight(3),1.620210886001587,-8.99624444443545,2,2.0821285247802734,-8.99739407406508,2
longFireFight(4),2.3637900352478027,-11.9949925925806,2,3.5155675411224365,-11.996234666654674,2
longFireFight(5),2.957613468170166,-14.993740740725746,2,4.659870624542236,-14.994951341022041,2
longFireFight(6),3.688776731491089,-17.9924888888709,2,6.159578561782837,-17.993689417558304,2
longFireFight(7),4.520061016082764,-20.991237037016045,2,7.667172431945801,-20.99203434278861,2
longFireFight(8),5.302205562591553,-23.989985185161192,2,9.050631999969482,-23.991033584859338,2
longFireFight(9),6.245172500610352,-26.98873333330634,2,10.207327604293823,-26.98978143578679,2
longFireFight(10),7.5619447231292725,-29.98748148145149,2,12.044949054718018,-29.988529488822273,2
