,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
prisoners(1),0.155289888381958,-6.538461538461538,2,0.21375679969787598,-6.538461538461538,2
prisoners(2),0.919489860534668,-13.076923076923077,2,0.2974579334259033,-6.846153846153846,2
prisoners(3),1.2070355415344238,-19.615384615384613,2,1.7185420989990234,-7.153846153846153,2
prisoners(4),1.415370225906372,-26.153846153846153,2,1.7268099784851074,-7.461538461538462,2
prisoners(5),1.8157830238342285,-32.69230769230769,2,1.988692045211792,-7.76923076923077,2
prisoners(6),1.8824236392974854,-39.23076923076923,2,2.5575037002563477,-8.076923076923077,2
prisoners(7),2.3101885318756104,-45.769230769230774,2,2.461817741394043,-8.384615384615383,2
prisoners(8),3.1018738746643066,-58.84615384615385,2,3.980703353881836,-8.999999999999996,2
prisoners(9),3.5387651920318604,-52.30769230769231,2,3.009352922439575,-8.69230769230769,2
prisoners(10),4.329245567321777,-65.38461538461539,2,4.558571815490723,-9.307692307692305,2
