,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
recycling(1),0.11916041374206543,2.6666666666666665,2,0.05277442932128906,2.6666666666666665,2
recycling(2),1.6151502132415771,5.333333227767964,2,1.1004042625427246,6.999998316352748,2
recycling(3),5.39833664894104,8.851851178011753,2,5.194854736328125,9.363634686307616,2
recycling(4),8.877055883407593,11.51851769241416,2,7.435363292694092,11.666664983019416,2
recycling(5),11.657269716262817,14.140739955240186,2,11.12405776977539,15.233475923244566,2
recycling(6),16.4464590549469,17.68148070951553,2,11.935710430145264,18.666664983019416,2
recycling(7),17.02462124824524,20.32518441389596,2,20.186700344085693,21.166664983019416,2
recycling(8),23.21258544921875,23.43333256475103,2,21.972903966903687,23.333331649686084,2
recycling(9),28.28384804725647,26.0702708364462,2,26.057952165603638,25.822220538574975,2
recycling(10),30.004964113235474,28.755416514817902,2,29.245978593826294,30.33333164968608,2
