,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
recycling(1),0.2861034870147705,2.6666666666666665,3,0.2312610149383545,2.6666666666666665,3
recycling(2),1.8262014389038086,5.333333227767964,3,1.690382957458496,6.666665299988422,3
recycling(3),4.328025817871094,8.88888737221895,3,5.779360771179199,7.999999331888582,3
recycling(4),7.362553834915161,11.555552923993265,3,8.749351978302002,12.083335287767806,3
recycling(5),10.504587888717651,14.222219590659932,3,10.747016191482544,12.93749973239711,3
recycling(6),13.043473482131958,17.777775146215486,3,12.929514646530151,17.270832696807247,3
recycling(7),17.3027560710907,20.44444181288215,3,17.064021587371826,19.77083216761966,3
recycling(8),20.499125003814697,23.999997368437707,3,20.000235080718994,22.02502881295343,3
recycling(9),26.057841300964355,26.666664035104375,3,21.097968816757202,25.77083216761966,3
recycling(10),27.533267498016357,29.333330701771043,3,24.95734477043152,28.77083216761966,3
