,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
relay4(1),0.0526423454284668,-1.0,2,0.05031418800354004,-1.0,2
relay4(2),0.6428623199462891,-2.0,2,0.34132838249206543,-2.0,2
relay4(3),6.052976131439209,-4.0,2,5.917076826095581,-4.0,2
relay4(4),6.4159836769104,-3.0,2,1.967839002609253,-3.0,2
relay4(5),15.223886728286743,-5.0,2,16.446531772613525,-5.0,2
relay4(6),41.16834855079651,-6.0,2,37.4415807723999,-6.0,2
relay4(7),73.76943826675415,-7.000000000000001,2,85.84019565582275,-7.000000000000001,2
relay4(8),142.50759625434875,-8.0,2,113.87950110435486,-7.999999999999973,2
relay4(9),172.11418747901917,-9.0,2,160.55776691436768,-8.999999999999973,2
relay4(10),217.4758915901184,-10.0,2,213.88451623916626,-9.999999999999972,2
