,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
wirelessDelay(1),0.07249808311462402,0.0,2,0.1969435214996338,0.0,2
wirelessDelay(2),8.344125986099243,0.0,2,15.913228034973145,0.0,2
wirelessDelay(3),40.330618381500244,0.0,2,78.01862955093384,0.0,2
wirelessDelay(4),207.21337294578552,0.0,2,402.9429988861084,0.0,2
wirelessDelay(5),464.0877022743225,0.0,2,889.533563375473,0.0,2
wirelessDelay(6),728.8650090694427,0.0,2,1386.339267730713,0.0,2
wirelessDelay(7),969.7680299282074,0.0,2,1871.4234294891357,0.0,2
wirelessDelay(8),1190.8837704658508,0.0,2,2397.5344531536102,0.0,2
wirelessDelay(9),1436.4768862724304,0.0,2,2847.2700366973877,0.0,2
wirelessDelay(10),1685.632574558258,0.0,2,3338.8136446475983,0.0,2
