,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
2generals(1),0.042761802673339844,-9.0625,2,0.9871940612792969,-9.0625,2
2generals(2),0.25005626678466797,-18.133283428234833,2,1.8097410202026367,-18.133283428234833,2
2generals(3),0.3415043354034424,-27.20163439518764,2,2.743699073791504,-27.201634395188485,2
2generals(4),0.44924330711364746,-36.26980104111616,2,3.5531439781188965,-36.26980499568241,2
2generals(5),0.5471723079681396,-45.3379434538126,2,5.8103578090667725,-45.33795118086896,2
2generals(6),0.6649355888366699,-54.40608313731248,2,6.742576837539673,-54.40609480142555,2
2generals(7),0.8801772594451904,-63.47422250176175,2,7.300908803939819,-63.47423416205412,2
2generals(8),0.9451949596405029,-72.54236182926236,2,7.04026198387146,-72.54237349125387,2
2generals(9),1.0749754905700684,-81.61050115247399,2,7.993785381317139,-81.61051281460047,2
2generals(10),1.2916839122772217,-90.67864047518802,2,9.715873956680298,-90.67865213733197,2
