,State of the Art,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,number_of_beliefs,time,leader value,iteration,number_of_beliefs
2generals(1),0.01980280876159668,-9.0625,2,4,0.01743173599243164,-9.0625,2,4
2generals(2),0.09950518608093262,-17.875482110618744,2,6,0.08068990707397461,-17.875482110618744,2,6
2generals(3),0.23343610763549805,-26.63387336489935,2,6,0.1299731731414795,-26.63387336489935,2,6
2generals(4),0.5299620628356934,-35.380913355626916,2,6,0.20326495170593262,-35.380913355626916,2,6
2generals(5),0.6288707256317139,-44.125621402390045,2,5,0.5979781150817871,-44.125621402390045,2,5
2generals(6),0.5073511600494385,-52.8698517511171,2,6,0.3323519229888916,-52.869851751117096,2,6
2generals(7),0.5758781433105469,-61.61398431036515,2,6,0.4119858741760254,-61.61398431036515,2,6
2generals(8),0.6306469440460205,-70.35809685448876,2,6,0.48781299591064453,-70.35809685448878,2,6
2generals(9),0.7450540065765381,-79.10220530217458,2,6,0.5703718662261963,-79.1022053021746,2,6
2generals(10),0.9604277610778809,-87.84631291146316,2,6,0.74688720703125,-87.84631291146317,2,6
