,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
alignment_2x4(1),0.05547022819519043,-91.72240802675586,2,0.16460728645324707,-91.72240802675586,2
alignment_2x4(2),0.65401291847229,-183.44481605351172,2,1.3974173069000244,-183.44481605351172,2
alignment_2x4(3),1.9833736419677734,-275.1672240802676,2,4.358914136886597,-276.63774391121524,2
alignment_2x4(4),6.1484925746917725,-368.02619580227645,2,13.303503513336182,-369.4143700601349,2
alignment_2x4(5),15.255867958068848,-460.2563824208411,2,29.385766744613647,-462.0568966667093,2
alignment_2x4(6),31.650312423706055,-552.7859536216342,2,56.14240741729736,-554.8121349619403,2
alignment_2x4(7),53.55668497085571,-644.8715529046617,2,94.48939108848572,-647.5573624861818,2
alignment_2x4(8),75.18083095550537,-737.493124432282,2,132.38632726669312,-740.2860410396122,2
alignment_2x4(9),96.88992977142334,-829.6195539892975,2,297.9412806034088,-833.0213296059666,2
alignment_2x4(10),118.76819396018982,-922.2150975983982,2,362.9548530578613,-925.7575350001906,2
