,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
alignment_2x4(1),0.14656281471252441,-91.72240802675586,2,0.49808621406555176,-91.72240802675586,2
alignment_2x4(2),0.39400482177734375,-183.44481605351172,2,2.037122964859009,-183.44481605351172,2
alignment_2x4(3),1.0423507690429688,-275.1672240802676,2,3.593190908432007,-276.63774391121524,2
alignment_2x4(4),1.8039262294769287,-368.02619580227645,2,6.680201530456543,-369.4143700601349,2
alignment_2x4(5),2.5799341201782227,-460.2563824208411,2,10.84430718421936,-462.0568966667093,2
alignment_2x4(6),3.241610050201416,-552.7859536216342,2,8.949033260345459,-554.8121349619403,2
alignment_2x4(7),3.9292542934417725,-644.8715529046617,2,11.334409475326538,-647.5573624861818,2
alignment_2x4(8),5.072111368179321,-737.493124432282,2,15.345232725143433,-740.2860410396122,2
alignment_2x4(9),5.788136005401611,-829.6195539892975,2,17.35126519203186,-833.0213296059666,2
alignment_2x4(10),6.2611753940582275,-922.2150975983982,2,23.05097770690918,-925.7575350001906,2
