,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
broadcastChannel(1),0.042681217193603516,0.5,2,0.04471111297607422,0.5,2
broadcastChannel(2),0.2095656394958496,0.9999999999999999,2,0.3301882743835449,0.9999999999999999,2
broadcastChannel(3),0.4696800708770752,1.4999999999999998,2,0.7956278324127197,1.4999999999999998,2
broadcastChannel(4),0.8648533821105957,2.0,2,1.2902066707611084,1.9999999999999998,2
broadcastChannel(5),1.2510755062103271,2.5,2,1.8985912799835205,2.4999999999999996,2
broadcastChannel(6),1.8104140758514404,3.0,2,2.933472156524658,3.0,2
broadcastChannel(7),2.353769540786743,3.5000000000000004,2,3.4352967739105225,3.5,2
broadcastChannel(8),3.3809471130371094,4.000000000000002,2,5.33691143989563,4.0,2
broadcastChannel(9),4.060090780258179,4.500000000000002,2,6.073597431182861,4.5,2
broadcastChannel(10),4.904032230377197,5.000000000000003,2,6.4129016399383545,5.0,2
