,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
dectiger(1),0.020819902420043945,-75.0,2,0.01939988136291504,-75.0,2
dectiger(2),0.08718204498291016,-150.0,2,0.07978224754333496,-150.0,2
dectiger(3),0.19684076309204102,-225.0,2,0.1941850185394287,-225.0,2
dectiger(4),0.37651872634887695,-300.0,2,0.3667466640472412,-300.0,2
dectiger(5),0.4969148635864258,-375.0,2,0.49866700172424316,-375.0,2
dectiger(6),0.7381880283355713,-450.0,2,0.6461141109466553,-450.0,2
dectiger(7),0.8351869583129883,-525.0,2,0.8240749835968018,-525.0,2
dectiger(8),1.033493995666504,-600.0,2,1.0049870014190674,-600.0,2
dectiger(9),1.1562819480895996,-675.0,2,1.1431269645690918,-675.0,2
dectiger(10),1.4267950057983398,-750.0,2,1.3446319103240967,-750.0,2
