,State of the Art,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,number_of_beliefs,time,leader value,iteration,number_of_beliefs
dectiger(1),0.019556760787963867,-75.0,3,5,0.019320249557495117,-75.0,3,5
dectiger(2),0.07722282409667969,-150.0,3,4,0.07275271415710449,-150.0,3,4
dectiger(3),0.17073583602905273,-225.0,3,5,0.1348719596862793,-225.0,3,5
dectiger(4),0.19578790664672852,-300.0,3,4,0.20396900177001953,-300.0,3,4
dectiger(5),0.26851916313171387,-375.0,3,4,0.2783169746398926,-375.0,3,4
dectiger(6),0.33068108558654785,-450.0,3,3,0.3545680046081543,-450.0,3,3
dectiger(7),0.42068004608154297,-525.0,3,3,0.4299459457397461,-525.0,3,3
dectiger(8),0.45791006088256836,-600.0,3,5,0.5045361518859863,-600.0,3,5
dectiger(9),0.6180319786071777,-675.0,3,5,0.6028580665588379,-675.0,3,5
dectiger(10),0.6509120464324951,-750.0,3,5,0.6534020900726318,-750.0,3,5
