,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
longFireFight(1),0.08057904243469238,-3.0042289562259517,2,0.22887182235717773,-3.0042289562259517,2
longFireFight(2),0.4712398052215576,-6.008365692242624,2,1.198314905166626,-6.008365692242624,2
longFireFight(3),1.1457736492156982,-9.012525990101024,2,2.7374205589294434,-9.012525990101024,2
longFireFight(4),1.8189609050750732,-12.016696223161082,2,4.233320713043213,-12.016696223161082,2
longFireFight(5),2.473813056945801,-15.02087037403005,2,6.178009510040283,-15.020870374030048,2
longFireFight(6),3.134093761444092,-18.025045922262283,2,7.7439329624176025,-18.025045922262283,2
longFireFight(7),3.82283878326416,-21.02922188057494,2,8.833245038986206,-21.02922188057494,2
longFireFight(8),4.494861602783203,-24.033397898867783,2,10.765588998794556,-24.033397898867783,2
longFireFight(9),5.2197041511535645,-27.037573875003115,2,11.095587015151978,-27.037573875003115,2
longFireFight(10),5.922840118408203,-30.041749794298184,2,12.99538516998291,-30.04174979429818,2
