,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
longFireFight(1),0.3725113868713379,-3.0042289562259517,2,0.38048887252807617,-3.0042289562259517,2
longFireFight(2),0.4270195960998535,-6.008365692242624,2,1.0078716278076172,-6.008365692242624,2
longFireFight(3),1.085752010345459,-9.012525990101024,2,2.6046013832092285,-9.012525990101024,2
longFireFight(4),1.7316758632659912,-12.016696223161082,2,4.234541654586792,-12.016696223161082,2
longFireFight(5),2.3770246505737305,-15.02087037403005,2,5.440471887588501,-15.020870374030048,2
longFireFight(6),3.041303873062134,-18.025045922262283,2,6.846749782562256,-18.025045922262283,2
longFireFight(7),3.701509952545166,-21.02922188057494,2,8.38911485671997,-21.02922188057494,2
longFireFight(8),4.345348596572876,-24.033397898867783,2,9.678903341293335,-24.033397898867783,2
longFireFight(9),5.01543664932251,-27.037573875003115,2,12.020255088806152,-27.037573875003115,2
longFireFight(10),5.6741626262664795,-30.041749794298184,2,12.26193642616272,-30.04174979429818,2
