,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
prisoners(1),0.03850674629211426,-5.0,2,0.031976938247680664,-5.0,2
prisoners(2),0.18984055519104004,-10.0,2,0.07645773887634277,-10.0,2
prisoners(3),0.19141507148742676,-15.0,2,0.1251204013824463,-15.0,2
prisoners(4),0.26130127906799316,-20.0,2,0.2161540985107422,-20.0,2
prisoners(5),0.33730506896972656,-25.0,2,0.2584404945373535,-25.0,2
prisoners(6),0.3995349407196045,-30.0,2,0.2986929416656494,-30.0,2
prisoners(7),0.47031641006469727,-35.0,2,0.3598618507385254,-35.0,2
prisoners(8),0.5389046669006348,-40.0,2,0.43601083755493164,-40.0,2
prisoners(9),0.6766402721405029,-45.0,2,0.4638214111328125,-45.0,2
prisoners(10),0.7610518932342529,-50.0,2,0.5408339500427246,-50.0,2
