,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
recycling(1),0.042374610900878906,2.0,2,0.08696866035461426,2.0,2
recycling(2),0.41498804092407227,4.0,2,1.5257961750030518,4.0,2
recycling(3),1.5583584308624268,6.0,2,3.587008237838745,5.999999999999999,2
recycling(4),3.161536455154419,7.999999999999999,2,8.888255596160889,7.999999999999998,2
recycling(5),4.824190378189087,9.999999999999998,2,11.942933797836304,9.999999999999993,2
recycling(6),5.845794916152954,11.999999999999998,2,14.05174970626831,11.999999999999991,2
recycling(7),6.886870861053467,13.999999999999998,2,18.3334538936615,13.999999999999991,2
recycling(8),8.893658638000488,15.999999999999998,2,23.42659282684326,15.99999999999999,2
recycling(9),10.564598798751831,17.999999999999996,2,23.790361166000366,17.99999999999999,2
recycling(10),11.876264333724976,19.999999999999993,2,29.009573221206665,19.99999999999999,2
