,State of the Art,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,number_of_beliefs,time,leader value,iteration,number_of_beliefs
recycling(1),0.02125382423400879,2.0,3,9,0.017312049865722656,2.0,3,9
recycling(2),0.242218017578125,2.398244213886672,3,23,0.17744684219360352,2.398244213886672,3,23
recycling(3),0.5596790313720703,2.2098598268238137,3,26,0.6489081382751465,2.2098598268238137,3,26
recycling(4),1.0888969898223877,2.107977589277626,3,26,1.0355126857757568,2.1079775892776254,3,26
recycling(5),1.6008269786834717,1.8485502595951573,3,26,1.675088882446289,1.848550259595157,3,26
recycling(6),2.015281915664673,1.5896528144728177,3,26,2.2577450275421143,1.5896528144728175,3,26
recycling(7),2.752507209777832,1.3376355565233324,3,26,3.260091781616211,1.3376355565233322,3,26
recycling(8),2.9361488819122314,1.070138235430738,3,26,3.6106910705566406,1.070138235430738,3,26
recycling(9),4.2175750732421875,0.8060521004399491,3,26,4.616134881973267,0.8060521004399491,3,26
recycling(10),4.656933307647705,0.542079410996943,3,26,6.029001951217651,0.5420794109969433,3,26
