,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
recycling(1),0.0649111270904541,2.0,3,0.33841466903686523,2.0,3
recycling(2),0.3730487823486328,4.0,3,1.8284595012664795,4.0,3
recycling(3),1.36997389793396,6.0,3,4.880600690841675,5.999999999999999,3
recycling(4),1.7996037006378174,7.999999999999998,3,9.000201940536499,7.999999999999998,3
recycling(5),2.5201542377471924,9.999999999999998,3,11.650125980377197,9.999999999999996,3
recycling(6),3.421992540359497,11.999999999999998,3,14.899227142333984,11.999999729730211,3
recycling(7),4.02211332321167,13.999999999999998,3,18.967706203460693,13.999999999999991,3
recycling(8),4.7612786293029785,15.999999999999998,3,21.552660942077637,15.999999572596696,3
recycling(9),5.649385213851929,17.999999999999996,3,24.901341676712036,17.999999572596696,3
recycling(10),6.242084741592407,19.999999999999993,3,27.955080032348633,19.999999572596696,3
